,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-86-8073-01A,0.006,0.007,0.007,0.002,0.011,0.0,0.625,0.01,0.051,0.095,0.019,0.163,0.003,0.001,0.0,0.0,LUAD,0.7441,0.34,0.5944,0.8,0.6105,
TCGA-L9-A7SV-01A,0.012,0.009,0.002,0.007,0.01,0.0,0.849,0.005,0.036,0.005,0.032,0.032,0.001,0.0,0.0,0.0,LUAD,0.9153,,0.811,0.8,0.8126,
TCGA-93-A4JP-01A,0.001,0.001,0.011,0.009,0.002,0.0,0.47,0.024,0.139,0.075,0.029,0.223,0.014,0.001,0.0,0.0,LUAD,0.6735,,0.7082,0.65,0.6919,
TCGA-78-7163-01A,0.013,0.0,0.01,0.004,0.013,0.001,0.904,0.01,0.009,0.002,0.002,0.018,0.001,0.0,0.014,0.0,LUAD,0.9576,0.69,0.7268,0.8,0.7654,
TCGA-64-1678-01A,0.029,0.0,0.007,0.0,0.0,0.0,0.942,0.0,0.002,0.006,0.012,0.0,0.0,0.0,0.0,0.0,LUAD,0.9376,0.57,,0.825,0.8146,
TCGA-NJ-A55R-01A,0.061,0.022,0.015,0.0,0.005,0.0,0.696,0.004,0.032,0.089,0.047,0.025,0.003,0.0,0.0,0.0,LUAD,0.8713,,0.6027,1.0,0.7913,
TCGA-97-A4M7-01A,0.036,0.007,0.034,0.005,0.016,0.0,0.475,0.109,0.09,0.107,0.02,0.089,0.009,0.001,0.0,0.0,LUAD,0.6183,,0.5881,0.75,0.5507,
TCGA-38-A44F-01A,0.031,0.024,0.029,0.003,0.011,0.001,0.462,0.062,0.087,0.115,0.032,0.131,0.011,0.004,0.001,0.0,LUAD,0.5874,,0.5909,0.8,0.554,
TCGA-62-8399-01A,0.008,0.009,0.004,0.007,0.012,0.0,0.634,0.009,0.123,0.078,0.058,0.047,0.008,0.0,0.0,0.002,LUAD,0.8196,,0.6775,0.7,0.7107,
TCGA-49-4514-01A,0.02,0.006,0.009,0.012,0.001,0.0,0.88,0.006,0.01,0.007,0.014,0.034,0.0,0.0,0.0,0.0,LUAD,0.8285,0.35,0.4931,0.55,0.6207,
TCGA-44-5643-01A,0.006,0.014,0.027,0.0,0.016,0.0,0.835,0.02,0.019,0.018,0.011,0.031,0.0,0.0,0.0,0.0,LUAD,0.8813,0.56,0.5258,0.75,0.6533,
TCGA-J2-A4AE-01A,0.036,0.026,0.015,0.01,0.01,0.0,0.612,0.051,0.086,0.036,0.019,0.096,0.003,0.0,0.0,0.0,LUAD,0.783,,0.7285,0.65,0.7158,
TCGA-05-4415-01A,0.007,0.0,0.002,0.016,0.001,0.0,0.805,0.0,0.031,0.038,0.009,0.078,0.003,0.0,0.009,0.0,LUAD,0.9014,0.67,0.8048,0.8,0.8018,
