,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-12-0821-01A,0.0,0.0,0.0,0.0,0.003,0.0,0.818,0.0,0.066,0.002,0.032,0.077,0.001,0.0,0.001,0.0,GBM,0.9161,0.9,,0.975,0.9476,
TCGA-76-4928-01B,0.0,0.0,0.0,0.0,0.0,0.0,0.689,0.0,0.077,0.063,0.01,0.159,0.0,0.0,0.001,0.0,GBM,0.7944,0.59,0.5666,0.8,0.7268,
TCGA-02-2485-01A,0.0,0.0,0.0,0.001,0.007,0.001,0.842,0.01,0.062,0.0,0.025,0.05,0.0,0.0,0.0,0.0,GBM,0.9112,0.93,,0.8,0.89,
TCGA-06-0138-01A,0.0,0.0,0.0,0.0,0.0,0.001,0.7,0.0,0.059,0.001,0.03,0.201,0.001,0.002,0.003,0.001,GBM,0.7224,0.76,,0.9875,0.836,
TCGA-15-1444-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.663,0.004,0.066,0.0,0.015,0.248,0.0,0.0,0.004,0.0,GBM,0.7891,0.62,0.804,0.4,0.7374,
TCGA-06-0750-01A,0.0,0.0,0.001,0.0,0.001,0.0,0.568,0.0,0.069,0.096,0.036,0.22,0.001,0.004,0.004,0.0,GBM,0.7422,0.72,,0.9,0.7913,
TCGA-27-2526-01A,0.0,0.0,0.001,0.0,0.005,0.0,0.846,0.0,0.032,0.0,0.005,0.108,0.0,0.001,0.001,0.0,GBM,0.8495,0.86,,0.85,0.836,
TCGA-27-2528-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.777,0.0,0.077,0.07,0.038,0.037,0.001,0.0,0.0,0.0,GBM,0.9099,0.76,,0.825,0.8835,
TCGA-06-2564-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.723,0.0,0.067,0.003,0.013,0.188,0.0,0.0,0.003,0.0,GBM,0.8147,0.78,,0.8,0.836,
TCGA-06-0130-01A,0.0,0.0,0.003,0.009,0.027,0.0,0.239,0.004,0.041,0.266,0.001,0.406,0.001,0.0,0.001,0.0,GBM,0.4454,0.28,,0.95,0.4285,
TCGA-06-2567-01A,0.0,0.0,0.002,0.001,0.01,0.002,0.672,0.0,0.049,0.035,0.025,0.185,0.0,0.003,0.013,0.001,GBM,0.7723,0.8,,0.8,0.8136,
TCGA-12-0619-01A,0.0,0.0,0.003,0.0,0.004,0.0,0.641,0.0,0.036,0.044,0.013,0.255,0.0,0.0,0.003,0.0,GBM,0.7473,,,1.0,0.7293,
TCGA-19-2620-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.817,0.0,0.047,0.003,0.019,0.112,0.0,0.0,0.001,0.0,GBM,0.867,0.68,,0.8,0.8299,
TCGA-28-5215-01A,0.002,0.0,0.003,0.002,0.001,0.0,0.635,0.001,0.063,0.075,0.021,0.196,0.0,0.001,0.0,0.0,GBM,0.7526,0.77,0.689,0.8,0.7838,
TCGA-06-0878-01A,0.0,0.0,0.001,0.0,0.001,0.0,0.705,0.0,0.04,0.026,0.006,0.217,0.0,0.0,0.002,0.0,GBM,0.7608,0.76,,0.95,0.8835,
TCGA-26-5134-01A,0.001,0.0,0.0,0.006,0.0,0.001,0.798,0.007,0.026,0.007,0.018,0.136,0.0,0.001,0.0,0.0,GBM,0.9045,0.92,0.826,0.775,0.9142,
TCGA-26-5136-01B,0.0,0.0,0.001,0.002,0.009,0.0,0.676,0.0,0.047,0.004,0.017,0.241,0.001,0.0,0.001,0.0,GBM,0.765,0.83,0.8361,0.75,0.896,
TCGA-14-0871-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.815,0.0,0.037,0.127,0.007,0.012,0.0,0.0,0.0,0.0,GBM,,0.93,,1.0,0.985,
TCGA-27-2523-01A,0.0,0.0,0.0,0.0,0.005,0.0,0.872,0.0,0.036,0.0,0.001,0.083,0.001,0.0,0.0,0.0,GBM,0.9331,0.92,,0.85,0.9196,
TCGA-06-5410-01A,0.001,0.0,0.004,0.0,0.0,0.001,0.285,0.0,0.068,0.046,0.019,0.558,0.0,0.007,0.012,0.001,GBM,0.465,,0.4085,0.75,0.3396,
