,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-D1-A179-01A,0.0,0.0,0.005,0.003,0.002,0.0,0.009,0.03,0.032,0.0,0.013,0.0,0.0,0.002,0.0,0.904,0.904,UCEC,,0.91,0.8555,0.7,0.865,
TCGA-AX-A06H-01A,0.031,0.012,0.057,0.017,0.023,0.0,0.021,0.053,0.096,0.012,0.043,0.0,0.0,0.0,0.0,0.633,0.633,UCEC,,0.52,0.6835,0.45,0.6628,
TCGA-A5-A0GN-01A,0.015,0.0,0.008,0.0,0.0,0.001,0.042,0.062,0.058,0.03,0.007,0.0,0.0,0.0,0.0,0.778,0.778,UCEC,,0.75,,0.8,0.8773,
TCGA-A5-A0VO-01A,0.021,0.0,0.017,0.001,0.0,0.001,0.017,0.067,0.058,0.009,0.022,0.0,0.0,0.0,0.0,0.786,0.786,UCEC,,,0.8137,0.7,0.8773,
TCGA-B5-A1N2-01A,0.01,0.0,0.013,0.009,0.002,0.003,0.008,0.076,0.049,0.036,0.022,0.0,0.0,0.004,0.0,0.767,0.767,UCEC,,0.77,0.8596,0.7,0.8698,
TCGA-BG-A187-01A,0.008,0.0,0.009,0.004,0.0,0.001,0.012,0.034,0.019,0.004,0.018,0.0,0.0,0.0,0.0,0.891,0.891,UCEC,,0.83,0.8449,0.7,0.8526,
TCGA-B5-A11Z-01A,0.015,0.0,0.009,0.0,0.001,0.003,0.004,0.039,0.041,0.009,0.008,0.0,0.0,0.003,0.0,0.868,0.868,UCEC,,0.86,0.9727,0.875,0.9783,
TCGA-DF-A2KU-01A,0.056,0.0,0.073,0.017,0.013,0.0,0.02,0.014,0.014,0.002,0.135,0.0,0.0,0.001,0.0,0.653,0.653,UCEC,0.7615,0.73,0.3767,0.9,0.7708,
TCGA-A5-A1OK-01A,0.009,0.0,0.006,0.002,0.003,0.0,0.021,0.06,0.066,0.024,0.028,0.0,0.0,0.005,0.0,0.774,0.774,UCEC,,0.83,0.8352,0.8,0.8411,
TCGA-B5-A11W-01A,0.02,0.0,0.007,0.001,0.0,0.0,0.007,0.051,0.033,0.009,0.014,0.0,0.001,0.005,0.0,0.852,0.852,UCEC,,0.85,0.895,0.9,0.9114,
TCGA-D1-A0ZQ-01A,0.009,0.0,0.003,0.006,0.002,0.0,0.001,0.116,0.112,0.039,0.021,0.001,0.0,0.002,0.0,0.688,0.688,UCEC,,0.77,0.7755,0.5,0.7913,
TCGA-DF-A2L0-01A,0.044,0.0,0.006,0.0,0.0,0.0,0.0,0.008,0.006,0.005,0.036,0.0,0.0,0.0,0.0,0.894,0.894,UCEC,0.8507,0.69,0.83,0.8,0.8261,
TCGA-B5-A11N-01A,0.07,0.0,0.018,0.03,0.004,0.0,0.018,0.073,0.025,0.011,0.074,0.0,0.0,0.0,0.0,0.675,0.675,UCEC,,0.56,0.6555,0.725,0.6939,
TCGA-EY-A2OM-01A,0.007,0.0,0.005,0.0,0.0,0.0,0.019,0.034,0.094,0.025,0.013,0.0,0.0,0.011,0.0,0.791,0.791,UCEC,,0.72,0.73,0.7,0.8456,
TCGA-D1-A16I-01A,0.013,0.003,0.013,0.024,0.008,0.021,0.022,0.047,0.046,0.017,0.032,0.008,0.001,0.005,0.001,0.739,0.739,UCEC,,0.87,0.9101,0.9,0.9291,
TCGA-AJ-A8CT-01A,0.07,0.001,0.028,0.039,0.033,0.001,0.025,0.065,0.093,0.025,0.064,0.001,0.001,0.005,0.0,0.549,0.549,UCEC,0.7415,,0.6877,0.6,0.6678,
TCGA-BS-A0UF-01A,0.058,0.001,0.072,0.037,0.024,0.0,0.009,0.034,0.043,0.0,0.086,0.001,0.0,0.003,0.0,0.633,0.633,UCEC,,,,0.91,0.8806,
TCGA-EY-A2OO-01A,0.006,0.0,0.011,0.008,0.002,0.002,0.009,0.085,0.024,0.028,0.012,0.001,0.001,0.011,0.001,0.799,0.799,UCEC,0.9609,0.75,1.0,0.75,0.919,
TCGA-A5-A0GU-01A,0.019,0.0,0.019,0.0,0.003,0.0,0.012,0.049,0.034,0.0,0.036,0.0,0.0,0.001,0.0,0.825,0.825,UCEC,,0.79,,0.8,0.8069,
