,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-C5-A7UH-01A,0.019,0.0,0.01,0.015,0.003,0.0,0.834,0.002,0.06,0.006,0.013,0.029,0.0,0.0,0.002,0.006,CESC,0.8874,,0.3494,0.95,0.6126,
TCGA-C5-A1M7-01A,0.015,0.001,0.022,0.005,0.0,0.0,0.807,0.048,0.06,0.006,0.011,0.001,0.002,0.0,0.02,0.001,CESC,0.863,,0.4058,0.6,0.6126,
TCGA-EA-A50E-01A,0.001,0.0,0.005,0.001,0.001,0.0,0.755,0.0,0.073,0.063,0.018,0.083,0.0,0.0,0.0,0.0,CESC,0.7791,,0.6441,0.6,0.7106,
TCGA-VS-A9V5-01A,0.003,0.0,0.0,0.021,0.0,0.0,0.911,0.001,0.022,0.027,0.002,0.006,0.001,0.0,0.006,0.0,CESC,0.9547,,,0.7,0.8255,
TCGA-BI-A20A-01A,0.007,0.0,0.027,0.018,0.003,0.0,0.746,0.091,0.033,0.026,0.009,0.039,0.0,0.0,0.0,0.0,CESC,0.8095,,0.7507,0.7,0.7419,
TCGA-C5-A2LV-01A,0.001,0.0,0.009,0.009,0.0,0.0,0.87,0.019,0.034,0.026,0.001,0.03,0.001,0.0,0.0,0.0,CESC,0.8248,,0.7856,0.85,0.7829,
TCGA-C5-A2LZ-01A,0.006,0.001,0.009,0.05,0.0,0.0,0.829,0.024,0.042,0.0,0.009,0.027,0.001,0.0,0.001,0.0,CESC,0.9065,,0.6723,0.65,0.6573,
TCGA-Q1-A6DV-01A,0.002,0.001,0.003,0.033,0.0,0.0,0.871,0.031,0.034,0.012,0.003,0.0,0.002,0.0,0.008,0.0,CESC,0.9659,,0.7418,0.6,0.7314,
TCGA-EK-A3GN-01A,0.0,0.0,0.0,0.006,0.0,0.0,0.979,0.002,0.007,0.004,0.0,0.002,0.0,0.0,0.0,0.0,CESC,0.985,,0.7836,0.6,0.9432,
TCGA-ZJ-A8QQ-01A,0.0,0.0,0.0,0.018,0.0,0.0,0.943,0.0,0.023,0.0,0.0,0.011,0.0,0.0,0.004,0.0,CESC,0.9355,,0.7467,0.8,0.7371,
TCGA-LP-A5U3-01A,0.0,0.0,0.018,0.032,0.0,0.0,0.857,0.017,0.028,0.0,0.003,0.044,0.0,0.0,0.0,0.0,CESC,0.8943,,0.7467,0.7,0.867,
TCGA-VS-A94Z-01A,0.018,0.001,0.038,0.157,0.003,0.0,0.578,0.014,0.071,0.019,0.006,0.092,0.001,0.0,0.001,0.0,CESC,0.6958,,0.3891,0.8,0.5975,
TCGA-EK-A2PG-01A,0.0,0.0,0.0,0.005,0.0,0.0,0.974,0.0,0.005,0.0,0.002,0.011,0.0,0.0,0.001,0.002,CESC,0.9763,,0.7666,0.6,0.7605,
TCGA-DG-A2KL-01A,0.0,0.0,0.029,0.006,0.0,0.0,0.654,0.051,0.052,0.16,0.006,0.04,0.002,0.0,0.0,0.0,CESC,0.748,,0.6959,0.7,0.6774,
TCGA-EA-A6QX-01A,0.022,0.001,0.021,0.024,0.0,0.0,0.782,0.004,0.048,0.021,0.009,0.054,0.001,0.002,0.009,0.0,CESC,0.8595,,0.6964,0.8,0.7019,
TCGA-VS-A9UT-01A,0.101,0.001,0.042,0.03,0.041,0.0,0.428,0.039,0.04,0.06,0.009,0.199,0.001,0.0,0.003,0.007,CESC,0.6021,,,0.8,0.5414,
TCGA-C5-A8ZZ-01A,0.0,0.0,0.011,0.0,0.0,0.0,0.74,0.002,0.027,0.176,0.013,0.027,0.004,0.0,0.0,0.0,CESC,0.8624,,0.7742,0.7,0.7913,
TCGA-VS-A959-01A,0.046,0.003,0.017,0.027,0.0,0.0,0.769,0.022,0.024,0.028,0.005,0.049,0.001,0.0,0.007,0.0,CESC,0.8583,,,0.6,0.8047,
TCGA-VS-A950-01A,0.039,0.001,0.01,0.003,0.0,0.0,0.828,0.006,0.066,0.014,0.008,0.016,0.001,0.0,0.004,0.004,CESC,0.9112,,,0.7,0.8853,
TCGA-VS-A9UM-01A,0.016,0.002,0.028,0.044,0.003,0.0,0.731,0.011,0.06,0.031,0.01,0.06,0.001,0.001,0.004,0.0,CESC,0.7779,,,0.75,0.6607,
TCGA-DS-A0VM-01A,0.0,0.0,0.027,0.012,0.0,0.0,0.841,0.005,0.027,0.035,0.002,0.048,0.002,0.0,0.0,0.0,CESC,0.8582,,0.7816,0.75,0.8179,
TCGA-VS-A957-01A,0.0,0.0,0.0,0.015,0.0,0.0,0.956,0.008,0.016,0.0,0.002,0.003,0.0,0.0,0.0,0.0,CESC,0.9791,,,0.9,0.842,
TCGA-EA-A3HR-01A,0.0,0.0,0.007,0.014,0.0,0.0,0.894,0.022,0.034,0.004,0.016,0.006,0.001,0.0,0.001,0.0,CESC,0.9225,,0.7908,0.75,0.7889,
TCGA-C5-A2M2-01A,0.0,0.0,0.0,0.033,0.0,0.0,0.942,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.003,0.0,CESC,0.9742,,0.8913,0.75,0.907,
TCGA-VS-A9UV-01A,0.004,0.0,0.0,0.006,0.0,0.0,0.932,0.005,0.037,0.0,0.004,0.008,0.001,0.0,0.002,0.001,CESC,0.9512,,,0.7,0.8678,
TCGA-EX-A3L1-01A,0.006,0.0,0.022,0.0,0.0,0.0,0.812,0.014,0.049,0.036,0.001,0.026,0.003,0.0,0.023,0.007,CESC,0.8307,,0.4427,0.6,0.7806,
TCGA-VS-A9UU-01A,0.008,0.001,0.005,0.017,0.001,0.0,0.889,0.01,0.04,0.003,0.007,0.0,0.0,0.0,0.014,0.007,CESC,0.9541,,,0.6,0.8698,
TCGA-MY-A5BE-01A,0.038,0.02,0.068,0.083,0.085,0.0,0.408,0.102,0.026,0.026,0.02,0.116,0.001,0.001,0.005,0.0,CESC,0.515,,0.4374,0.8,0.3736,
TCGA-VS-A94W-01A,0.004,0.001,0.065,0.013,0.017,0.0,0.69,0.075,0.042,0.018,0.01,0.061,0.001,0.0,0.003,0.0,CESC,0.7744,,0.6799,0.8,0.7019,
TCGA-C5-A3HD-01B,0.0,0.0,0.004,0.001,0.0,0.0,0.984,0.0,0.006,0.001,0.0,0.002,0.002,0.0,0.0,0.0,CESC,0.9806,,0.8498,0.8,0.8583,
TCGA-JX-A3PZ-01A,0.0,0.0,0.004,0.028,0.0,0.0,0.809,0.029,0.026,0.037,0.001,0.064,0.001,0.001,0.0,0.0,CESC,0.7846,,0.7494,0.9,0.718,
TCGA-IR-A3LA-01A,0.002,0.0,0.002,0.02,0.0,0.0,0.895,0.005,0.009,0.036,0.001,0.028,0.0,0.0,0.001,0.0,CESC,0.9119,,0.7732,0.8,0.7683,
TCGA-C5-A3HE-01A,0.016,0.0,0.001,0.082,0.0,0.0,0.809,0.012,0.023,0.007,0.001,0.039,0.004,0.0,0.005,0.0,CESC,0.8106,,0.611,0.8,0.7019,
TCGA-Q1-A6DT-01A,0.0,0.0,0.006,0.002,0.0,0.0,0.942,0.0,0.022,0.001,0.001,0.022,0.0,0.0,0.003,0.0,CESC,0.9398,,0.7197,0.8,0.7054,
TCGA-C5-A7CL-01A,0.0,0.0,0.005,0.002,0.0,0.0,0.894,0.001,0.036,0.017,0.007,0.032,0.003,0.0,0.0,0.0,CESC,0.8857,,0.7185,0.75,0.7913,
TCGA-IR-A3LK-01A,0.0,0.0,0.0,0.029,0.0,0.0,0.887,0.012,0.024,0.0,0.001,0.045,0.0,0.0,0.001,0.0,CESC,0.9007,,0.6216,0.9,0.8756,
TCGA-MA-AA3X-01A,0.0,0.0,0.017,0.0,0.001,0.0,0.758,0.001,0.059,0.001,0.016,0.142,0.0,0.0,0.004,0.0,CESC,0.7854,,,0.8,0.7105,
TCGA-C5-A7XC-01A,0.027,0.0,0.005,0.042,0.0,0.0,0.745,0.027,0.051,0.055,0.005,0.021,0.004,0.013,0.003,0.0,CESC,0.8113,,0.6523,0.6,0.7542,
TCGA-VS-A94Y-01A,0.0,0.0,0.007,0.017,0.0,0.0,0.856,0.003,0.03,0.047,0.001,0.031,0.003,0.001,0.002,0.0,CESC,0.8721,,0.7369,0.8,0.836,
TCGA-EK-A2PM-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.966,0.0,0.014,0.012,0.003,0.005,0.0,0.0,0.0,0.0,CESC,0.9874,,0.8745,0.96,0.9342,
TCGA-FU-A3TQ-01A,0.0,0.001,0.034,0.007,0.0,0.0,0.839,0.052,0.034,0.011,0.017,0.002,0.001,0.0,0.001,0.0,CESC,0.8694,,0.6992,0.6,0.6813,
TCGA-EX-A69M-01A,0.027,0.0,0.014,0.049,0.001,0.0,0.801,0.028,0.022,0.0,0.001,0.053,0.001,0.0,0.003,0.001,CESC,0.8339,,0.7877,0.75,0.785,
TCGA-ZJ-AAX4-01A,0.0,0.001,0.03,0.024,0.019,0.0,0.701,0.029,0.058,0.01,0.005,0.11,0.001,0.0,0.011,0.0,CESC,0.7676,,,0.7,0.6538,
TCGA-FU-A40J-01A,0.001,0.0,0.0,0.061,0.0,0.0,0.816,0.031,0.02,0.046,0.002,0.013,0.003,0.002,0.005,0.0,CESC,0.8809,,0.7711,0.75,0.7658,
TCGA-VS-A8QF-01A,0.021,0.001,0.013,0.011,0.0,0.0,0.833,0.004,0.028,0.004,0.009,0.067,0.001,0.0,0.009,0.0,CESC,0.8492,,0.6489,0.8,0.7019,
TCGA-Q1-A73R-01A,0.001,0.0,0.003,0.028,0.0,0.0,0.855,0.001,0.026,0.051,0.027,0.005,0.0,0.0,0.003,0.0,CESC,0.9495,,0.8715,0.6,0.8838,
TCGA-VS-A9V0-01A,0.0,0.0,0.001,0.009,0.0,0.0,0.947,0.005,0.021,0.003,0.01,0.0,0.0,0.0,0.003,0.0,CESC,0.9785,,,0.65,0.8416,
TCGA-UC-A7PF-01A,0.018,0.001,0.03,0.067,0.001,0.0,0.626,0.089,0.036,0.052,0.007,0.073,0.0,0.0,0.001,0.0,CESC,0.7334,,0.6511,0.6,0.6484,
TCGA-C5-A1BQ-01C,0.0,0.0,0.019,0.074,0.0,0.0,0.791,0.0,0.026,0.002,0.0,0.088,0.0,0.0,0.0,0.0,CESC,0.8333,,0.6524,0.9,0.7841,
TCGA-C5-A1MN-01A,0.0,0.0,0.012,0.001,0.0,0.0,0.917,0.002,0.034,0.012,0.0,0.016,0.001,0.0,0.002,0.001,CESC,0.9354,,0.7491,0.85,0.836,
TCGA-VS-A8EB-01A,0.0,0.0,0.001,0.042,0.0,0.0,0.889,0.012,0.018,0.006,0.001,0.022,0.001,0.009,0.0,0.0,CESC,0.8856,,0.8726,0.8,0.8551,
TCGA-MY-A5BD-01A,0.0,0.001,0.01,0.02,0.0,0.0,0.896,0.025,0.012,0.013,0.013,0.007,0.002,0.0,0.001,0.0,CESC,0.9705,,0.9335,0.9,0.9567,
TCGA-C5-A3HF-01A,0.014,0.0,0.023,0.032,0.001,0.0,0.794,0.03,0.026,0.064,0.002,0.012,0.003,0.0,0.001,0.0,CESC,0.8761,,0.7106,0.65,0.6946,
TCGA-C5-A2LS-01A,0.001,0.0,0.0,0.016,0.0,0.0,0.955,0.019,0.007,0.0,0.001,0.001,0.0,0.0,0.0,0.0,CESC,0.9867,,0.7603,0.65,0.8806,
TCGA-C5-A8YT-01A,0.0,0.0,0.001,0.027,0.0,0.0,0.676,0.003,0.05,0.202,0.004,0.014,0.003,0.019,0.001,0.0,CESC,0.8446,,0.8518,0.75,0.7995,
TCGA-C5-A901-01A,0.003,0.0,0.016,0.004,0.001,0.0,0.873,0.011,0.048,0.015,0.007,0.018,0.001,0.0,0.002,0.0,CESC,0.8789,,0.7789,0.7,0.836,
TCGA-MU-A51Y-01A,0.001,0.001,0.055,0.05,0.0,0.0,0.61,0.078,0.072,0.037,0.017,0.077,0.0,0.0,0.0,0.0,CESC,0.7182,,0.6443,0.8,0.6278,
TCGA-EA-A5ZE-01A,0.005,0.0,0.028,0.019,0.0,0.0,0.669,0.081,0.054,0.062,0.01,0.067,0.001,0.003,0.0,0.0,CESC,0.7461,,0.7729,0.7,0.6658,
TCGA-IR-A3LI-01A,0.0,0.0,0.0,0.005,0.0,0.0,0.99,0.001,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,CESC,0.9923,,0.9771,0.95,1.0,
TCGA-ZJ-AAXA-01A,0.0,0.0,0.004,0.0,0.0,0.0,0.901,0.002,0.048,0.006,0.009,0.029,0.0,0.0,0.0,0.0,CESC,0.9301,,,0.9,0.7641,
TCGA-FU-A3NI-01A,0.0,0.0,0.025,0.015,0.0,0.0,0.834,0.028,0.038,0.028,0.001,0.031,0.001,0.0,0.0,0.0,CESC,0.8774,,0.8532,0.8,0.8441,
TCGA-DG-A2KM-01A,0.041,0.006,0.051,0.084,0.099,0.0,0.325,0.05,0.025,0.059,0.011,0.24,0.0,0.0,0.006,0.001,CESC,0.4043,,0.3411,0.9,0.2605,
TCGA-EA-A97N-01A,0.0,0.0,0.019,0.0,0.0,0.0,0.835,0.026,0.045,0.059,0.009,0.006,0.0,0.0,0.0,0.0,CESC,0.8707,,0.6646,0.6,0.6407,
TCGA-DG-A2KJ-01A,0.035,0.0,0.025,0.013,0.0,0.0,0.827,0.043,0.011,0.006,0.002,0.028,0.002,0.001,0.007,0.0,CESC,0.7749,,0.7103,0.8,0.7049,
