,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-CV-6951-01A,0.0,0.0,0.009,0.0,0.004,0.0,0.003,0.013,0.051,0.019,0.009,0.0,0.0,0.009,0.0,0.883,0.883,HNSC,0.9336,0.63,0.7478,0.8,0.8205,
TCGA-F7-8298-01A,0.0,0.0,0.01,0.01,0.003,0.0,0.003,0.046,0.134,0.023,0.034,0.0,0.0,0.009,0.0,0.727,0.727,HNSC,0.8485,,0.7096,0.8,0.8047,
TCGA-D6-6515-01A,0.007,0.0,0.06,0.016,0.02,0.0,0.129,0.035,0.221,0.019,0.083,0.0,0.001,0.015,0.0,0.394,0.394,HNSC,0.5131,0.25,0.4513,0.65,0.395,
TCGA-CV-7180-01A,0.001,0.0,0.008,0.003,0.006,0.0,0.006,0.013,0.0,0.004,0.0,0.0,0.0,0.002,0.006,0.951,0.951,HNSC,0.9442,0.43,0.6217,0.825,0.6014,
TCGA-CV-7242-01A,0.04,0.009,0.043,0.013,0.025,0.0,0.035,0.036,0.039,0.011,0.02,0.0,0.006,0.015,0.001,0.707,0.707,HNSC,0.8552,0.51,0.4826,0.775,0.7189,
TCGA-BA-6871-01A,0.003,0.0,0.031,0.018,0.008,0.0,0.011,0.068,0.223,0.019,0.039,0.0,0.0,0.007,0.001,0.571,0.571,HNSC,0.7229,0.69,0.8146,0.925,0.817,
TCGA-CR-7371-01A,0.011,0.0,0.046,0.007,0.017,0.0,0.029,0.044,0.129,0.016,0.043,0.0,0.0,0.023,0.016,0.619,0.619,HNSC,0.7491,0.4,0.5923,0.65,0.5618,
TCGA-CV-5432-01A,0.011,0.0,0.008,0.01,0.007,0.0,0.002,0.019,0.059,0.011,0.026,0.0,0.0,0.004,0.0,0.843,0.843,HNSC,0.912,0.47,0.7796,0.45,0.6922,
TCGA-CN-5360-01A,0.027,0.003,0.055,0.023,0.026,0.0,0.045,0.053,0.134,0.029,0.077,0.001,0.002,0.029,0.001,0.495,0.495,HNSC,0.6569,0.53,0.537,0.75,0.6051,
TCGA-CQ-A4C6-01A,0.001,0.0,0.037,0.013,0.008,0.0,0.019,0.025,0.067,0.041,0.026,0.0,0.0,0.014,0.003,0.744,0.744,HNSC,0.8016,,0.5943,0.99,0.6573,
TCGA-MT-A7BN-01A,0.027,0.0,0.01,0.001,0.022,0.0,0.01,0.016,0.103,0.009,0.067,0.0,0.0,0.0,0.0,0.735,0.735,HNSC,0.7202,,0.7723,0.8,0.6306,
TCGA-CN-A641-01A,0.006,0.0,0.012,0.001,0.008,0.003,0.006,0.037,0.005,0.012,0.008,0.001,0.0,0.007,0.01,0.885,0.885,HNSC,0.9367,,0.3918,0.85,0.8806,
