,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-S2-AA1A-01A,0.12,0.024,0.037,0.011,0.012,0.001,0.061,0.097,0.162,0.016,0.072,0.009,0.001,0.001,0.001,0.379,0.379,LUAD,0.5451,,0.5172,0.6,0.43,
TCGA-95-7948-01A,0.021,0.0,0.001,0.014,0.003,0.0,0.038,0.03,0.042,0.017,0.061,0.002,0.0,0.0,0.0,0.771,0.771,LUAD,0.8573,0.71,0.7661,0.71,0.8167,
TCGA-67-3774-01A,0.032,0.0,0.021,0.013,0.012,0.0,0.04,0.09,0.084,0.04,0.099,0.003,0.0,0.0,0.001,0.565,0.565,LUAD,0.7186,0.48,,0.775,0.6284,
TCGA-38-4628-01A,0.001,0.0,0.014,0.0,0.0,0.0,0.018,0.016,0.096,0.016,0.173,0.007,0.0,0.0,0.0,0.659,0.659,LUAD,0.7247,0.5,,0.75,0.637,
TCGA-50-6595-01A,0.004,0.0,0.018,0.026,0.001,0.0,0.007,0.105,0.214,0.026,0.083,0.007,0.0,0.0,0.0,0.508,0.508,LUAD,0.6048,0.18,0.5027,0.775,0.4503,
TCGA-55-7903-01A,0.002,0.0,0.004,0.036,0.0,0.0,0.027,0.038,0.016,0.006,0.074,0.004,0.0,0.0,0.0,0.791,0.791,LUAD,0.807,0.64,0.6906,0.8,0.7098,
TCGA-50-5051-01A,0.023,0.002,0.005,0.002,0.0,0.0,0.027,0.034,0.044,0.04,0.016,0.002,0.0,0.0,0.0,0.803,0.803,LUAD,0.8944,0.59,0.7277,0.8,0.7233,
TCGA-86-6851-01A,0.083,0.009,0.035,0.08,0.015,0.0,0.035,0.035,0.065,0.009,0.163,0.003,0.001,0.001,0.0,0.466,0.466,LUAD,0.5575,0.32,0.4889,0.8,0.4502,
TCGA-75-6205-01A,0.011,0.005,0.034,0.021,0.018,0.0,0.094,0.079,0.132,0.015,0.208,0.009,0.0,0.001,0.0,0.371,0.371,LUAD,0.389,0.18,0.3864,0.71,0.3236,
TCGA-55-8091-01A,0.019,0.0,0.02,0.02,0.0,0.0,0.047,0.058,0.18,0.01,0.149,0.006,0.001,0.002,0.0,0.487,0.487,LUAD,0.5815,0.57,0.6753,0.75,0.6776,
TCGA-44-4112-01A,0.025,0.0,0.012,0.01,0.003,0.0,0.022,0.065,0.115,0.017,0.111,0.008,0.0,0.0,0.0,0.612,0.612,LUAD,0.7132,0.55,0.7061,0.7833,0.6708,
TCGA-44-3917-01A,0.047,0.006,0.006,0.032,0.017,0.0,0.013,0.029,0.084,0.013,0.095,0.001,0.0,0.001,0.0,0.656,0.656,LUAD,,,0.5358,0.8,0.4892,
TCGA-49-4505-01A,0.028,0.0,0.021,0.008,0.013,0.0,0.078,0.079,0.071,0.023,0.126,0.01,0.0,0.0,0.0,0.543,0.543,LUAD,0.6223,0.44,,0.725,0.5801,
TCGA-62-8397-01A,0.024,0.0,0.003,0.0,0.0,0.0,0.067,0.035,0.047,0.009,0.107,0.005,0.0,0.0,0.0,0.703,0.703,LUAD,0.7641,,0.7235,0.65,0.7,
TCGA-50-5942-01A,0.034,0.001,0.021,0.004,0.002,0.001,0.044,0.042,0.099,0.023,0.041,0.015,0.0,0.0,0.0,0.674,0.674,LUAD,0.7812,0.69,0.8458,0.8,0.7653,
TCGA-55-8206-01A,0.023,0.003,0.035,0.0,0.001,0.0,0.108,0.058,0.075,0.018,0.144,0.016,0.0,0.001,0.043,0.474,0.474,LUAD,0.6,0.46,0.6819,0.65,0.5991,
TCGA-55-8094-01A,0.012,0.0,0.004,0.0,0.003,0.0,0.001,0.026,0.0,0.017,0.012,0.0,0.0,0.0,0.0,0.924,0.924,LUAD,0.9856,0.79,0.7796,0.85,0.8439,
TCGA-05-4382-01A,0.043,0.001,0.021,0.021,0.009,0.0,0.001,0.06,0.168,0.015,0.262,0.005,0.0,0.001,0.0,0.393,0.393,LUAD,0.5209,0.23,,0.7,0.381,
TCGA-05-5423-01A,0.009,0.003,0.019,0.001,0.009,0.0,0.073,0.051,0.038,0.013,0.197,0.008,0.0,0.0,0.001,0.578,0.578,LUAD,0.6329,0.59,0.6959,0.75,0.645,
TCGA-49-AAR4-01A,0.052,0.0,0.021,0.046,0.065,0.0,0.039,0.034,0.087,0.012,0.101,0.006,0.0,0.0,0.0,0.537,0.537,LUAD,0.6419,,,0.65,0.5243,
TCGA-97-A4M3-01A,0.01,0.0,0.003,0.002,0.0,0.0,0.022,0.068,0.076,0.045,0.046,0.001,0.0,0.0,0.0,0.725,0.725,LUAD,0.8345,,0.8728,0.75,0.7858,
TCGA-05-4397-01A,0.007,0.0,0.017,0.026,0.001,0.0,0.001,0.034,0.014,0.033,0.198,0.002,0.0,0.001,0.0,0.666,0.666,LUAD,0.8408,0.87,,0.75,0.7943,
TCGA-55-6984-01A,0.012,0.008,0.008,0.0,0.0,0.0,0.01,0.042,0.018,0.013,0.017,0.003,0.0,0.0,0.0,0.869,0.869,LUAD,0.8737,0.84,0.6238,0.75,0.7928,
TCGA-05-4427-01A,0.01,0.0,0.012,0.03,0.005,0.0,0.045,0.088,0.057,0.012,0.137,0.002,0.0,0.0,0.0,0.601,0.601,LUAD,0.7404,0.46,0.6577,0.725,0.6325,
TCGA-86-8281-01A,0.036,0.001,0.008,0.002,0.004,0.0,0.013,0.053,0.047,0.028,0.05,0.004,0.0,0.001,0.0,0.754,0.754,LUAD,0.8423,0.43,0.6186,0.85,0.6889,
TCGA-44-A4SU-01A,0.063,0.014,0.026,0.016,0.012,0.0,0.04,0.029,0.099,0.017,0.05,0.005,0.0,0.001,0.0,0.627,0.627,LUAD,0.7925,,0.6897,0.7,0.6701,
TCGA-75-5147-01A,0.033,0.004,0.03,0.012,0.014,0.0,0.034,0.031,0.077,0.019,0.106,0.006,0.0,0.001,0.002,0.63,0.63,LUAD,0.7138,0.4,0.6494,0.675,0.6223,
TCGA-97-7546-01A,0.021,0.016,0.027,0.002,0.015,0.001,0.061,0.113,0.147,0.016,0.098,0.009,0.0,0.001,0.001,0.471,0.471,LUAD,0.6363,0.57,0.713,0.65,0.6975,
TCGA-86-8585-01A,0.024,0.011,0.012,0.016,0.016,0.0,0.023,0.009,0.074,0.012,0.149,0.001,0.0,0.0,0.001,0.651,0.651,LUAD,0.6753,,0.5562,0.75,0.5413,
TCGA-55-8301-01A,0.062,0.019,0.031,0.038,0.022,0.0,0.039,0.036,0.089,0.022,0.142,0.002,0.0,0.0,0.0,0.497,0.497,LUAD,0.5319,0.23,0.501,0.6,0.381,
TCGA-86-6562-01A,0.01,0.0,0.02,0.006,0.006,0.0,0.005,0.076,0.141,0.015,0.138,0.005,0.0,0.001,0.0,0.579,0.579,LUAD,0.702,0.45,0.7484,0.75,0.6059,
TCGA-J2-A4AD-01A,0.007,0.0,0.001,0.015,0.0,0.0,0.009,0.022,0.112,0.017,0.05,0.002,0.0,0.0,0.0,0.764,0.764,LUAD,0.8857,,0.7751,0.7,0.8129,
TCGA-50-5946-01A,0.014,0.0,0.002,0.021,0.003,0.0,0.001,0.042,0.025,0.016,0.026,0.002,0.0,0.0,0.0,0.848,0.848,LUAD,0.9354,0.68,0.6931,0.8,0.7409,
TCGA-55-8510-01A,0.014,0.0,0.024,0.024,0.011,0.0,0.055,0.054,0.129,0.019,0.204,0.007,0.0,0.001,0.001,0.457,0.457,LUAD,0.5711,,0.5941,0.75,0.5577,
TCGA-99-8033-01A,0.005,0.0,0.012,0.042,0.0,0.0,0.009,0.025,0.052,0.016,0.068,0.002,0.0,0.002,0.0,0.767,0.767,LUAD,0.753,0.45,0.5429,0.6,0.5896,
TCGA-69-7978-01A,0.034,0.005,0.028,0.033,0.031,0.0,0.038,0.064,0.123,0.015,0.21,0.006,0.0,0.001,0.001,0.411,0.411,LUAD,0.483,0.2,0.4625,0.8,0.3778,
TCGA-86-8054-01A,0.0,0.0,0.008,0.0,0.014,0.0,0.002,0.05,0.06,0.009,0.024,0.001,0.0,0.0,0.0,0.83,0.83,LUAD,0.9153,0.74,0.8129,0.825,0.8646,
TCGA-44-7660-01A,0.006,0.0,0.024,0.0,0.011,0.0,0.011,0.003,0.065,0.01,0.083,0.0,0.0,0.001,0.0,0.785,0.785,LUAD,0.8657,0.75,0.6359,0.55,0.8281,
TCGA-78-8662-01A,0.001,0.0,0.0,0.005,0.001,0.0,0.012,0.008,0.031,0.011,0.051,0.002,0.0,0.0,0.0,0.877,0.877,LUAD,0.9267,,0.8624,0.75,0.8731,
TCGA-75-7027-01A,0.012,0.0,0.014,0.008,0.0,0.0,0.014,0.044,0.19,0.008,0.047,0.002,0.0,0.0,0.0,0.662,0.662,LUAD,0.8031,0.62,0.7724,0.7,0.7591,
TCGA-97-A4M6-01A,0.008,0.011,0.045,0.017,0.023,0.0,0.075,0.061,0.128,0.019,0.132,0.004,0.0,0.003,0.002,0.47,0.47,LUAD,0.615,,0.5478,0.75,0.5034,
TCGA-MP-A4SV-01A,0.029,0.006,0.021,0.046,0.009,0.0,0.036,0.048,0.062,0.019,0.085,0.004,0.0,0.0,0.0,0.635,0.635,LUAD,0.7193,,0.5357,0.7,0.6126,
TCGA-38-4627-01A,0.011,0.0,0.02,0.003,0.007,0.0,0.028,0.094,0.373,0.041,0.151,0.006,0.0,0.001,0.001,0.266,0.266,LUAD,0.4221,,,0.7,0.4862,
TCGA-93-A4JO-01A,0.031,0.013,0.024,0.032,0.014,0.0,0.065,0.073,0.078,0.022,0.133,0.005,0.0,0.001,0.001,0.508,0.508,LUAD,0.5944,,0.5002,0.6,0.4597,
TCGA-05-4426-01A,0.001,0.0,0.017,0.015,0.005,0.0,0.002,0.045,0.044,0.002,0.132,0.003,0.0,0.0,0.0,0.734,0.734,LUAD,0.8136,0.71,,0.75,0.8361,
TCGA-97-7937-01A,0.0,0.0,0.001,0.006,0.0,0.0,0.003,0.029,0.062,0.004,0.079,0.002,0.0,0.0,0.0,0.813,0.813,LUAD,0.8497,0.42,0.6257,0.71,0.6596,
TCGA-75-6206-01A,0.008,0.0,0.008,0.0,0.0,0.0,0.014,0.074,0.074,0.022,0.13,0.002,0.0,0.0,0.0,0.667,0.667,LUAD,0.7503,0.7,0.8126,0.8,0.8145,
TCGA-62-A472-01A,0.004,0.0,0.01,0.038,0.004,0.0,0.045,0.035,0.029,0.012,0.093,0.008,0.0,0.0,0.0,0.719,0.719,LUAD,0.8073,,0.6852,0.7,0.7466,
