,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-ZF-A9R1-01A,0.0,0.011,0.01,0.005,0.0,0.0,0.861,0.005,0.022,0.024,0.045,0.014,0.0,0.0,0.001,0.0,BLCA,0.9507,,0.7247,0.7,0.8806,
TCGA-ZF-AA5H-01A,0.008,0.0,0.01,0.033,0.0,0.0,0.767,0.001,0.027,0.063,0.005,0.085,0.001,0.0,0.001,0.0,BLCA,0.7887,,0.5267,0.9,0.6573,
TCGA-BT-A2LA-01A,0.001,0.002,0.0,0.0,0.027,0.0,0.885,0.005,0.029,0.008,0.024,0.012,0.008,0.0,0.0,0.0,BLCA,0.9948,0.95,0.7419,0.9,0.8956,
TCGA-XF-A9T4-01A,0.0,0.0,0.002,0.015,0.0,0.0,0.831,0.009,0.05,0.059,0.001,0.024,0.0,0.0,0.007,0.0,BLCA,0.8727,,0.5832,0.9,0.8377,
TCGA-GV-A3JW-01A,0.001,0.0,0.0,0.002,0.0,0.0,0.922,0.002,0.031,0.007,0.017,0.014,0.001,0.0,0.002,0.0,BLCA,0.9878,0.83,0.7617,0.9,0.9153,
TCGA-ZF-A9RM-01A,0.0,0.0,0.0,0.007,0.0,0.0,0.959,0.0,0.016,0.0,0.011,0.005,0.0,0.0,0.0,0.0,BLCA,0.999,,0.9095,0.95,0.9285,
TCGA-KQ-A41P-01A,0.001,0.0,0.002,0.002,0.0,0.0,0.795,0.001,0.025,0.064,0.027,0.081,0.001,0.0,0.001,0.0,BLCA,0.843,,0.749,0.75,0.7466,
TCGA-DK-A3IK-01A,0.014,0.002,0.006,0.0,0.0,0.001,0.823,0.009,0.027,0.053,0.034,0.023,0.007,0.0,0.0,0.0,BLCA,0.9072,0.5,0.729,0.75,0.8004,
TCGA-CU-A0YN-01A,0.011,0.0,0.019,0.009,0.005,0.0,0.735,0.012,0.029,0.09,0.007,0.021,0.005,0.0,0.035,0.02,BLCA,0.8114,0.4,0.544,0.815,0.6483,
TCGA-4Z-AA7W-01A,0.017,0.0,0.024,0.132,0.001,0.0,0.644,0.049,0.019,0.004,0.007,0.098,0.0,0.0,0.003,0.001,BLCA,0.6281,,0.3514,0.8,0.5054,
TCGA-CF-A9FL-01A,0.015,0.0,0.0,0.002,0.0,0.0,0.86,0.0,0.035,0.023,0.026,0.039,0.0,0.0,0.0,0.0,BLCA,0.8943,,0.5959,0.7,0.7466,
TCGA-E7-A7PW-01A,0.0,0.0,0.001,0.003,0.01,0.0,0.925,0.001,0.01,0.0,0.008,0.039,0.0,0.0,0.001,0.0,BLCA,0.9771,,0.839,0.8,0.9253,
TCGA-FD-A6TA-01A,0.034,0.0,0.025,0.004,0.0,0.0,0.603,0.016,0.03,0.171,0.011,0.08,0.002,0.0,0.023,0.001,BLCA,0.719,,0.4928,0.82,0.629,
TCGA-FD-A43S-01A,0.022,0.056,0.04,0.001,0.002,0.001,0.409,0.038,0.086,0.169,0.069,0.097,0.01,0.001,0.001,0.0,BLCA,0.5542,,0.4666,0.6,0.4051,
TCGA-K4-A4AC-01A,0.0,0.0,0.01,0.006,0.0,0.0,0.882,0.001,0.028,0.001,0.016,0.054,0.0,0.0,0.001,0.001,BLCA,0.8389,,0.5271,0.85,0.7917,
TCGA-2F-A9KW-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.725,0.0,0.087,0.018,0.064,0.097,0.0,0.0,0.007,0.0,BLCA,0.8471,,0.7657,0.8,0.7913,
