,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-OR-A5JK-01A,0.031,0.001,0.013,0.0,0.037,0.0,0.575,0.005,0.021,0.06,0.11,0.145,0.002,0.0,0.0,0.0,ACC,0.7793,,0.6584,0.99,0.7108,
TCGA-OR-A5LJ-01A,0.0,0.0,0.002,0.002,0.012,0.0,0.86,0.001,0.028,0.0,0.062,0.032,0.001,0.0,0.0,0.0,ACC,0.9541,,0.9402,0.98,0.9481,
TCGA-OR-A5K9-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.899,0.0,0.013,0.022,0.037,0.027,0.001,0.0,0.0,0.0,ACC,0.9599,,1.0,0.95,0.956,
TCGA-OR-A5LA-01A,0.0,0.0,0.006,0.009,0.002,0.0,0.305,0.0,0.114,0.0,0.234,0.262,0.068,0.0,0.0,0.0,ACC,0.7921,,0.7705,0.9,0.7651,
TCGA-OR-A5JP-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.842,0.002,0.035,0.017,0.071,0.032,0.001,0.0,0.0,0.0,ACC,0.9493,,0.9762,0.95,0.9417,
TCGA-OR-A5LE-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.903,0.002,0.016,0.0,0.07,0.008,0.0,0.0,0.0,0.0,ACC,0.9903,,0.9833,0.9,0.9973,
TCGA-OR-A5JB-01A,0.0,0.0,0.004,0.04,0.001,0.0,0.709,0.0,0.016,0.0,0.05,0.178,0.0,0.0,0.0,0.001,ACC,0.7634,,0.7555,0.99,0.7474,
TCGA-OR-A5J3-01A,0.0,0.0,0.004,0.0,0.002,0.0,0.889,0.0,0.021,0.0,0.058,0.024,0.002,0.0,0.0,0.0,ACC,0.967,,0.9249,0.8,0.9466,
TCGA-OR-A5JQ-01A,0.02,0.0,0.002,0.0,0.011,0.0,0.613,0.021,0.081,0.073,0.092,0.08,0.006,0.0,0.0,0.0,ACC,0.8306,,0.7785,0.95,0.7804,
TCGA-OR-A5J7-01A,0.0,0.0,0.002,0.0,0.0,0.0,0.817,0.0,0.063,0.0,0.092,0.026,0.001,0.0,0.0,0.0,ACC,0.9607,,0.9998,0.8,0.9571,
TCGA-OR-A5KZ-01A,0.0,0.0,0.0,0.0,0.001,0.0,0.699,0.002,0.059,0.081,0.111,0.042,0.004,0.0,0.0,0.001,ACC,0.9128,,0.9696,0.8,0.8921,
TCGA-OR-A5KW-01A,0.0,0.0,0.002,0.0,0.0,0.0,0.88,0.0,0.018,0.0,0.052,0.039,0.008,0.0,0.0,0.0,ACC,0.9629,,0.9194,1.0,0.9601,
TCGA-PA-A5YG-01A,0.0,0.0,0.002,0.001,0.003,0.0,0.599,0.0,0.107,0.0,0.113,0.132,0.043,0.0,0.0,0.0,ACC,0.7785,,0.6674,0.9,0.7097,
TCGA-OR-A5J9-01A,0.0,0.0,0.002,0.0,0.001,0.0,0.728,0.002,0.118,0.0,0.144,0.002,0.001,0.0,0.0,0.001,ACC,0.9501,,1.0,0.8,0.9428,
TCGA-OR-A5K4-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.832,0.0,0.03,0.0,0.099,0.037,0.001,0.0,0.0,0.0,ACC,0.9852,,0.8771,0.97,0.9432,
TCGA-OR-A5K2-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.003,0.052,0.0,0.082,0.063,0.0,0.0,0.0,0.0,ACC,0.9336,,0.9863,1.0,0.97,
TCGA-OR-A5JO-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.009,0.243,0.146,0.176,0.381,0.025,0.019,0.0,0.001,ACC,0.6099,,0.7451,0.9,0.7352,
TCGA-OR-A5KU-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.891,0.001,0.007,0.01,0.072,0.015,0.002,0.0,0.0,0.0,ACC,0.9603,,0.9419,1.0,0.9665,
TCGA-OR-A5LB-01A,0.0,0.0,0.003,0.0,0.0,0.0,0.856,0.0,0.055,0.0,0.053,0.031,0.002,0.0,0.0,0.0,ACC,0.9787,,1.0,0.9,0.9816,
TCGA-OR-A5L8-01A,0.0,0.0,0.002,0.0,0.0,0.0,0.906,0.0,0.022,0.009,0.057,0.002,0.001,0.0,0.0,0.0,ACC,0.9658,,1.0,0.9,0.964,
TCGA-OR-A5J8-01A,0.0,0.0,0.017,0.003,0.016,0.0,0.024,0.0,0.095,0.458,0.035,0.351,0.001,0.0,0.0,0.0,ACC,0.4893,,0.6211,0.8,0.5895,
TCGA-OR-A5LS-01A,0.0,0.0,0.0,0.0,0.002,0.0,0.895,0.0,0.029,0.0,0.055,0.017,0.001,0.0,0.0,0.0,ACC,0.9774,,0.9788,0.95,0.9798,
TCGA-OR-A5JW-01A,0.0,0.0,0.002,0.0,0.0,0.0,0.789,0.0,0.08,0.0,0.051,0.072,0.006,0.0,0.0,0.0,ACC,0.9433,,0.9414,1.0,0.9659,
TCGA-OR-A5JC-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.771,0.006,0.056,0.0,0.114,0.046,0.005,0.0,0.0,0.0,ACC,0.9265,,0.9277,0.9,0.9107,
TCGA-OR-A5LP-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.581,0.0,0.094,0.003,0.169,0.14,0.012,0.0,0.0,0.0,ACC,0.8118,,0.7831,0.9,0.7799,
TCGA-OR-A5J1-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.635,0.016,0.079,0.0,0.164,0.106,0.0,0.0,0.0,0.0,ACC,0.9368,,0.9774,0.8,0.9246,
TCGA-OR-A5K0-01A,0.0,0.009,0.0,0.002,0.001,0.0,0.881,0.0,0.002,0.001,0.043,0.057,0.004,0.0,0.0,0.0,ACC,0.9701,,1.0,1.0,0.97,
TCGA-OR-A5K8-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.828,0.001,0.027,0.0,0.106,0.039,0.0,0.0,0.0,0.0,ACC,0.9524,,0.9699,0.97,0.9459,
TCGA-OR-A5L5-01A,0.001,0.0,0.0,0.001,0.004,0.0,0.527,0.0,0.056,0.098,0.114,0.168,0.029,0.001,0.0,0.0,ACC,0.8194,,0.7538,0.95,0.7653,
TCGA-OR-A5KT-01A,0.001,0.0,0.009,0.0,0.001,0.0,0.042,0.0,0.205,0.27,0.212,0.255,0.002,0.0,0.0,0.001,ACC,0.7383,,0.7789,1.0,0.775,
TCGA-OR-A5JF-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.853,0.0,0.041,0.0,0.081,0.021,0.002,0.0,0.0,0.0,ACC,0.9571,,0.9064,0.95,0.9253,
TCGA-OR-A5L4-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.518,0.0,0.239,0.0,0.166,0.062,0.015,0.0,0.0,0.0,ACC,0.9096,,0.9557,0.95,0.8877,
TCGA-OR-A5JS-01A,0.001,0.0,0.002,0.0,0.0,0.0,0.868,0.0,0.035,0.001,0.061,0.027,0.006,0.0,0.0,0.0,ACC,0.9709,,0.9821,0.85,0.971,
TCGA-OR-A5K5-01A,0.0,0.0,0.001,0.0,0.003,0.0,0.887,0.0,0.011,0.005,0.059,0.032,0.001,0.0,0.0,0.0,ACC,0.9649,,1.0,0.9,0.9629,
TCGA-OR-A5JG-01A,0.0,0.0,0.0,0.0,0.001,0.0,0.882,0.0,0.033,0.022,0.015,0.045,0.001,0.0,0.0,0.0,ACC,0.9344,,1.0,0.99,0.961,
TCGA-PK-A5H8-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.751,0.0,0.065,0.0,0.075,0.084,0.023,0.0,0.0,0.0,ACC,0.9285,,0.9699,0.8,0.9134,
