,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-NC-A5HL-01A,0.023,0.007,0.014,0.027,0.008,0.0,0.022,0.021,0.026,0.0,0.096,0.0,0.0,0.002,0.0,0.753,0.753,LUSC,0.8155,,0.7049,0.95,0.7243,
TCGA-90-A4ED-01A,0.069,0.014,0.005,0.007,0.001,0.002,0.012,0.051,0.15,0.022,0.019,0.003,0.001,0.0,0.0,0.644,0.644,LUSC,0.83,,0.6576,0.65,0.706,
TCGA-68-A59J-01A,0.007,0.009,0.014,0.02,0.006,0.0,0.015,0.037,0.055,0.013,0.063,0.0,0.0,0.024,0.011,0.726,0.726,LUSC,0.8107,,0.7247,0.77,0.7535,
TCGA-60-2720-01A,0.028,0.003,0.029,0.007,0.004,0.0,0.021,0.051,0.102,0.009,0.025,0.002,0.0,0.007,0.001,0.711,0.711,LUSC,0.7333,0.32,,0.775,0.6483,
TCGA-94-8491-01A,0.017,0.019,0.014,0.005,0.012,0.0,0.033,0.041,0.041,0.012,0.031,0.001,0.0,0.007,0.001,0.766,0.766,LUSC,0.8353,,0.6443,0.65,0.6167,
TCGA-66-2793-01A,0.003,0.001,0.004,0.001,0.013,0.0,0.003,0.015,0.021,0.001,0.005,0.003,0.0,0.002,0.0,0.928,0.928,LUSC,0.9833,0.85,,0.65,0.9783,
TCGA-77-A5FZ-01A,0.047,0.084,0.054,0.002,0.02,0.004,0.045,0.115,0.16,0.027,0.174,0.006,0.001,0.012,0.012,0.237,0.237,LUSC,0.2908,,0.2834,0.6,0.1926,
TCGA-21-1081-01A,0.007,0.001,0.003,0.003,0.008,0.0,0.001,0.043,0.144,0.001,0.017,0.002,0.0,0.017,0.003,0.751,0.751,LUSC,0.8696,0.49,,0.9,0.6573,
TCGA-43-3920-01A,0.043,0.0,0.008,0.006,0.024,0.0,0.004,0.026,0.174,0.009,0.063,0.003,0.0,0.015,0.013,0.612,0.612,LUSC,0.6966,0.52,,0.8,0.656,
TCGA-37-A5EL-01A,0.006,0.0,0.001,0.012,0.007,0.0,0.01,0.05,0.014,0.003,0.014,0.003,0.0,0.006,0.0,0.873,0.873,LUSC,0.961,,0.9212,0.95,0.9421,
TCGA-37-3789-01A,0.003,0.001,0.017,0.019,0.014,0.0,0.011,0.046,0.035,0.008,0.057,0.001,0.0,0.007,0.008,0.773,0.773,LUSC,0.7705,0.62,,0.9,0.7019,
TCGA-60-2724-01A,0.001,0.001,0.011,0.0,0.0,0.0,0.003,0.054,0.179,0.01,0.017,0.002,0.0,0.004,0.001,0.717,0.717,LUSC,0.7875,0.47,,0.85,0.7219,
TCGA-77-7337-01A,0.009,0.001,0.016,0.002,0.008,0.0,0.001,0.08,0.188,0.008,0.05,0.004,0.0,0.017,0.015,0.601,0.601,LUSC,0.7344,0.53,0.6538,0.65,0.6576,
TCGA-85-8276-01A,0.063,0.019,0.026,0.01,0.024,0.001,0.025,0.035,0.178,0.02,0.087,0.003,0.0,0.001,0.0,0.508,0.508,LUSC,0.625,0.26,0.5981,0.65,0.5013,
TCGA-98-8022-01A,0.021,0.01,0.017,0.002,0.021,0.0,0.046,0.061,0.111,0.028,0.06,0.003,0.001,0.015,0.0,0.603,0.603,LUSC,0.7532,0.42,0.6187,0.65,0.5867,
TCGA-66-2766-01A,0.009,0.0,0.01,0.001,0.008,0.0,0.0,0.029,0.032,0.018,0.05,0.002,0.0,0.003,0.0,0.838,0.838,LUSC,0.8765,0.75,,0.9,0.8428,
TCGA-66-2792-01A,0.007,0.004,0.014,0.001,0.002,0.001,0.007,0.036,0.092,0.006,0.028,0.004,0.0,0.002,0.0,0.797,0.797,LUSC,0.8581,0.66,,0.725,0.7887,
TCGA-56-5897-01A,0.045,0.002,0.027,0.0,0.013,0.0,0.008,0.057,0.242,0.016,0.127,0.006,0.0,0.027,0.0,0.429,0.429,LUSC,0.53,0.19,0.4671,0.65,0.3722,
TCGA-85-8277-01A,0.028,0.001,0.008,0.011,0.004,0.0,0.006,0.024,0.033,0.001,0.041,0.002,0.0,0.01,0.0,0.83,0.83,LUSC,0.8806,0.56,0.7643,0.7,0.7258,
TCGA-39-5034-01A,0.049,0.0,0.023,0.001,0.015,0.0,0.011,0.032,0.115,0.017,0.053,0.001,0.001,0.0,0.0,0.681,0.681,LUSC,0.7617,0.51,0.5506,0.65,0.6667,
TCGA-22-5473-01A,0.006,0.0,0.009,0.006,0.01,0.0,0.006,0.022,0.065,0.001,0.042,0.002,0.0,0.006,0.0,0.825,0.825,LUSC,0.8693,0.58,0.8321,0.8,0.773,
TCGA-66-2767-01A,0.043,0.021,0.031,0.012,0.023,0.0,0.039,0.053,0.069,0.012,0.187,0.004,0.001,0.002,0.0,0.504,0.504,LUSC,0.5499,0.27,,0.7,0.419,
TCGA-37-4133-01A,0.027,0.0,0.014,0.002,0.007,0.0,0.001,0.026,0.03,0.005,0.068,0.0,0.0,0.0,0.0,0.82,0.82,LUSC,0.8179,0.67,,0.775,0.7913,
TCGA-56-A49D-01A,0.003,0.001,0.014,0.015,0.03,0.0,0.027,0.044,0.034,0.015,0.1,0.002,0.0,0.001,0.002,0.713,0.713,LUSC,0.7759,,0.5889,0.85,0.7062,
TCGA-60-2723-01A,0.022,0.001,0.015,0.014,0.012,0.0,0.003,0.017,0.102,0.001,0.081,0.0,0.0,0.0,0.0,0.731,0.731,LUSC,0.7237,0.4,,0.85,0.6353,
TCGA-94-8035-01A,0.01,0.001,0.005,0.002,0.001,0.0,0.006,0.048,0.021,0.008,0.02,0.001,0.0,0.006,0.007,0.863,0.863,LUSC,0.9393,0.31,0.5114,0.8,0.5813,
