,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-DD-AACG-01A,0.0,0.0,0.006,0.0,0.0,0.0,0.842,0.0,0.059,0.0,0.004,0.088,0.0,0.0,0.0,0.0,LIHC,0.9084,,,0.95,0.8387,
TCGA-CC-A123-01A,0.0,0.0,0.013,0.0,0.0,0.0,0.641,0.0,0.16,0.001,0.056,0.126,0.0,0.0,0.002,0.0,LIHC,0.9097,,0.8776,0.95,0.8879,
TCGA-DD-A1EE-01A,0.0,0.0,0.004,0.0,0.0,0.0,0.833,0.0,0.071,0.0,0.032,0.054,0.0,0.0,0.006,0.0,LIHC,0.9411,,0.8602,0.65,0.8705,
TCGA-FV-A3I1-01A,0.0,0.0,0.017,0.0,0.0,0.0,0.761,0.0,0.079,0.037,0.019,0.087,0.0,0.0,0.0,0.0,LIHC,0.8273,,0.6643,0.8,0.6403,
TCGA-G3-A5SJ-01A,0.015,0.0,0.014,0.003,0.001,0.0,0.886,0.0,0.036,0.005,0.002,0.035,0.0,0.0,0.003,0.0,LIHC,0.8371,,0.6178,0.9,0.6573,
TCGA-BC-A3KG-01A,0.0,0.0,0.003,0.001,0.0,0.0,0.879,0.0,0.068,0.001,0.048,0.001,0.0,0.0,0.0,0.0,LIHC,0.95,,0.9044,0.95,0.9225,
TCGA-ZS-A9CF-01A,0.0,0.0,0.026,0.0,0.0,0.009,0.208,0.0,0.454,0.001,0.254,0.045,0.0,0.0,0.004,0.0,LIHC,0.8991,,0.8101,0.75,0.8116,
TCGA-RC-A6M6-01A,0.001,0.0,0.005,0.001,0.0,0.0,0.936,0.0,0.027,0.003,0.008,0.018,0.0,0.0,0.0,0.0,LIHC,0.9527,,0.7025,0.85,0.7466,
TCGA-DD-AACI-01A,0.001,0.0,0.009,0.005,0.002,0.0,0.725,0.0,0.057,0.002,0.068,0.127,0.0,0.001,0.002,0.0,LIHC,0.7256,,,0.95,0.6699,
TCGA-EP-A3JL-01A,0.0,0.0,0.011,0.0,0.0,0.0,0.742,0.0,0.079,0.006,0.069,0.092,0.0,0.0,0.001,0.0,LIHC,0.7694,,0.6575,0.9,0.6974,
TCGA-CC-A5UD-01A,0.0,0.0,0.01,0.001,0.0,0.0,0.835,0.0,0.063,0.001,0.032,0.057,0.0,0.0,0.001,0.0,LIHC,0.9483,,0.9058,0.95,0.9241,
TCGA-ES-A2HS-01A,0.0,0.0,0.013,0.0,0.0,0.0,0.238,0.0,0.462,0.004,0.164,0.116,0.0,0.0,0.002,0.0,LIHC,0.9053,,0.8714,0.9,0.8819,
TCGA-BC-A10U-01A,0.0,0.0,0.004,0.0,0.0,0.0,0.949,0.0,0.0,0.0,0.01,0.036,0.0,0.0,0.0,0.0,LIHC,0.9433,,0.6805,0.95,0.9253,
TCGA-DD-A119-01A,0.0,0.0,0.002,0.0,0.0,0.0,0.762,0.0,0.107,0.02,0.033,0.075,0.0,0.0,0.0,0.0,LIHC,0.877,,0.8424,0.925,0.8434,
TCGA-2Y-A9H1-01A,0.0,0.0,0.012,0.0,0.0,0.0,0.872,0.0,0.066,0.0,0.015,0.031,0.0,0.002,0.001,0.0,LIHC,0.8567,,0.6811,0.85,0.8159,
TCGA-G3-A5SK-01A,0.002,0.0,0.047,0.001,0.0,0.0,0.02,0.0,0.27,0.053,0.002,0.538,0.002,0.037,0.026,0.001,LIHC,0.8244,,0.7136,0.9,0.6982,
TCGA-BC-A10Y-01A,0.0,0.0,0.007,0.004,0.0,0.0,0.757,0.0,0.157,0.0,0.056,0.016,0.0,0.003,0.0,0.0,LIHC,0.8958,,0.7369,0.875,0.7256,
TCGA-DD-AAE1-01A,0.0,0.0,0.011,0.0,0.0,0.0,0.717,0.016,0.215,0.001,0.001,0.038,0.0,0.0,0.0,0.0,LIHC,0.9197,,,0.96,0.757,
TCGA-DD-AADN-01A,0.04,0.0,0.015,0.012,0.0,0.0,0.781,0.0,0.017,0.0,0.002,0.114,0.0,0.016,0.001,0.0,LIHC,0.7966,,,0.95,0.7628,
TCGA-CC-A3M9-01A,0.0,0.0,0.034,0.015,0.078,0.0,0.249,0.0,0.061,0.142,0.001,0.416,0.001,0.0,0.0,0.001,LIHC,0.449,,0.3525,0.7,0.2738,
TCGA-DD-A73C-01A,0.001,0.0,0.018,0.0,0.0,0.0,0.101,0.0,0.474,0.021,0.099,0.27,0.001,0.015,0.0,0.0,LIHC,0.864,,0.7548,0.96,0.8258,
TCGA-BW-A5NP-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.945,0.0,0.048,0.002,0.0,0.002,0.0,0.0,0.0,0.001,LIHC,0.9696,,1.0,0.8,0.9692,
TCGA-CC-A7IL-01A,0.0,0.0,0.061,0.0,0.0,0.0,0.149,0.0,0.488,0.001,0.114,0.184,0.001,0.0,0.001,0.0,LIHC,0.9715,,0.5128,0.8,0.7913,
TCGA-DD-AACV-01A,0.0,0.0,0.012,0.0,0.0,0.0,0.851,0.0,0.108,0.001,0.006,0.021,0.0,0.0,0.001,0.0,LIHC,0.9724,,,0.95,0.8822,
TCGA-DD-AAD1-01A,0.007,0.016,0.007,0.01,0.0,0.019,0.533,0.006,0.15,0.1,0.082,0.068,0.0,0.0,0.0,0.0,LIHC,0.7417,,,0.95,0.7702,
TCGA-DD-AAVV-01A,0.001,0.0,0.017,0.0,0.0,0.0,0.617,0.001,0.116,0.051,0.08,0.115,0.0,0.0,0.002,0.0,LIHC,0.7462,,,0.75,0.7956,
TCGA-ED-A8O5-01A,0.0,0.0,0.002,0.0,0.0,0.001,0.709,0.0,0.241,0.003,0.042,0.0,0.0,0.002,0.001,0.0,LIHC,0.9275,,0.9403,0.8,0.9121,
TCGA-ED-A97K-01A,0.009,0.0,0.005,0.002,0.0,0.0,0.799,0.0,0.049,0.05,0.001,0.081,0.003,0.0,0.001,0.0,LIHC,0.8581,,0.6455,0.6,0.8178,
TCGA-2V-A95S-01A,0.033,0.0,0.036,0.02,0.017,0.0,0.7,0.0,0.041,0.016,0.013,0.104,0.0,0.011,0.009,0.0,LIHC,0.7218,,0.4951,0.7,0.6126,
TCGA-UB-A7MB-01A,0.002,0.0,0.057,0.02,0.0,0.0,0.2,0.0,0.65,0.002,0.06,0.005,0.0,0.001,0.004,0.0,LIHC,0.9581,,0.9044,0.95,0.9224,
TCGA-CC-5264-01A,0.0,0.0,0.012,0.006,0.0,0.0,0.887,0.0,0.042,0.014,0.01,0.029,0.0,0.0,0.0,0.0,LIHC,0.9247,,0.7718,0.85,0.8583,
TCGA-ED-A66Y-01A,0.0,0.0,0.001,0.004,0.0,0.0,0.814,0.0,0.104,0.069,0.001,0.001,0.0,0.004,0.0,0.0,LIHC,0.9706,,0.9487,0.95,0.9706,
TCGA-ED-A627-01A,0.019,0.0,0.016,0.0,0.04,0.0,0.413,0.0,0.175,0.139,0.026,0.17,0.0,0.0,0.001,0.0,LIHC,0.63,,0.5404,0.65,0.5081,
TCGA-DD-AACC-01A,0.073,0.008,0.046,0.025,0.056,0.0,0.013,0.029,0.182,0.057,0.02,0.485,0.0,0.0,0.006,0.0,LIHC,0.5869,,,0.78,0.5534,
TCGA-DD-A4NB-01A,0.0,0.0,0.023,0.0,0.003,0.0,0.004,0.0,0.248,0.245,0.231,0.236,0.0,0.0,0.009,0.0,LIHC,0.7073,,0.6414,0.75,0.613,
