,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-BQ-7062-01A,0.0,0.0,0.003,0.0,0.03,0.001,0.599,0.031,0.052,0.016,0.005,0.252,0.01,0.0,0.001,0.0,KIRP,0.7632,,0.7009,0.65,0.6861,
TCGA-IZ-A6M8-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.576,0.003,0.02,0.0,0.002,0.397,0.0,0.0,0.002,0.0,KIRP,0.7852,,0.71,0.85,0.7189,
TCGA-GL-7966-01A,0.0,0.0,0.004,0.009,0.0,0.0,0.89,0.0,0.019,0.043,0.002,0.018,0.014,0.0,0.0,0.0,KIRP,0.9529,,0.9152,0.875,0.9352,
TCGA-O9-A75Z-01A,0.0,0.0,0.003,0.003,0.001,0.0,0.836,0.011,0.018,0.013,0.0,0.102,0.01,0.0,0.001,0.0,KIRP,0.8827,,0.9312,0.8,0.8806,
TCGA-DZ-6135-01A,0.057,0.0,0.016,0.0,0.001,0.0,0.731,0.04,0.012,0.018,0.0,0.12,0.003,0.0,0.001,0.0,KIRP,0.8607,,0.8791,0.85,0.8214,
TCGA-MH-A55W-01A,0.002,0.0,0.012,0.002,0.017,0.0,0.799,0.03,0.013,0.003,0.004,0.11,0.008,0.0,0.0,0.0,KIRP,0.8999,,0.859,0.8,0.8691,
TCGA-BQ-7059-01A,0.0,0.0,0.007,0.0,0.012,0.0,0.397,0.021,0.033,0.02,0.007,0.498,0.004,0.0,0.001,0.0,KIRP,0.6363,,0.6336,0.7,0.6042,
TCGA-B9-5156-01A,0.0,0.0,0.012,0.0,0.0,0.0,0.675,0.006,0.023,0.007,0.0,0.274,0.001,0.0,0.0,0.0,KIRP,0.8082,,0.7918,0.85,0.75,
TCGA-2Z-A9J1-01A,0.005,0.0,0.004,0.0,0.001,0.0,0.774,0.03,0.019,0.002,0.002,0.16,0.002,0.0,0.0,0.0,KIRP,0.8686,,0.7452,0.9,0.7466,
TCGA-A4-8098-01A,0.0,0.0,0.003,0.02,0.0,0.0,0.827,0.013,0.029,0.003,0.008,0.095,0.0,0.0,0.001,0.0,KIRP,0.9263,,0.8625,0.8,0.8732,
TCGA-BQ-7060-01A,0.0,0.0,0.002,0.001,0.001,0.0,0.622,0.011,0.019,0.004,0.005,0.335,0.0,0.0,0.0,0.0,KIRP,0.8468,,0.7917,0.9,0.7963,
TCGA-DW-5561-01A,0.0,0.0,0.001,0.008,0.001,0.0,0.792,0.02,0.025,0.002,0.003,0.144,0.003,0.001,0.001,0.0,KIRP,0.8949,,0.9585,0.85,0.8678,
TCGA-5P-A9JZ-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.749,0.002,0.012,0.0,0.002,0.233,0.001,0.0,0.001,0.0,KIRP,0.9004,,,0.7,0.811,
TCGA-A4-7584-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.857,0.004,0.027,0.0,0.006,0.105,0.0,0.0,0.0,0.0,KIRP,0.9623,,0.951,0.825,0.9593,
TCGA-GL-A9DE-01A,0.0,0.0,0.0,0.004,0.0,0.0,0.583,0.0,0.027,0.0,0.023,0.362,0.0,0.0,0.0,0.0,KIRP,0.9029,,0.9285,0.7,0.8787,
TCGA-MH-A562-01A,0.001,0.0,0.002,0.008,0.008,0.0,0.677,0.009,0.021,0.001,0.002,0.263,0.005,0.001,0.002,0.0,KIRP,0.8016,,0.8108,0.9,0.8125,
TCGA-J7-6720-01A,0.003,0.0,0.003,0.0,0.0,0.0,0.621,0.008,0.032,0.014,0.003,0.309,0.007,0.0,0.0,0.0,KIRP,0.7601,,0.8129,0.75,0.8149,
TCGA-DZ-6134-01A,0.013,0.018,0.017,0.0,0.009,0.005,0.516,0.018,0.045,0.026,0.02,0.31,0.0,0.0,0.001,0.001,KIRP,0.6943,,0.6442,0.75,0.606,
TCGA-P4-AAVM-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.737,0.0,0.006,0.0,0.005,0.252,0.0,0.0,0.0,0.0,KIRP,0.9371,,,0.7,0.9028,
TCGA-G7-A8LD-01A,0.0,0.0,0.003,0.008,0.002,0.0,0.884,0.006,0.046,0.009,0.0,0.039,0.003,0.0,0.001,0.0,KIRP,0.9515,,0.8693,0.9,0.8812,
TCGA-AL-3467-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.955,0.0,0.018,0.003,0.023,0.0,0.0,0.0,0.0,0.0,KIRP,0.9987,,,0.8,0.851,
