,B Cells_marker_mean,CAFs_marker_mean,CD4 T_marker_mean,CD8 T_marker_mean,DC_marker_mean,Endothelial Cells_marker_mean,Macrophages_marker_mean,Mast Cells_marker_mean,Monocytes_marker_mean,Myofibroblasts_marker_mean,NK_marker_mean,Neutrophils_marker_mean,Cancer Cells_marker_mean,Unnamed: 0,cancer_type,reference_dataset,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,B Cells,CD8 T,Fibroblasts
TCGA-IA-A40U-01A,5.32,18.428,28.954,7.171,7.783,67.887,205.956,96.639,6.216,112.34,23.419,17.707,639.661,7496,KIRP,simu_bulk_2ds_ref,0.005,0.0,0.001,0.001,0.0,0.0,0.807,0.002,0.038,0.0,0.04,0.103,0.0,0.0,0.002,0.0,0.005,0.001,0.04
TCGA-DW-7838-01A,6.447,30.157,84.431,8.969,30.156,38.304,713.711,23.899,10.021,57.216,14.441,9.261,407.016,7497,KIRP,simu_bulk_2ds_ref,0.001,0.0,0.008,0.0,0.002,0.0,0.67,0.002,0.024,0.027,0.027,0.235,0.002,0.0,0.003,0.0,0.001,0.002,0.054
TCGA-HE-7129-01A,2.814,3.323,11.105,1.142,2.385,44.912,58.606,158.414,1.396,60.714,7.988,1.044,922.434,7498,KIRP,simu_bulk_2ds_ref,0.0,0.0,0.001,0.0,0.0,0.0,0.923,0.0,0.027,0.0,0.009,0.034,0.007,0.0,0.0,0.0,0.0,0.0,0.009
TCGA-BQ-5887-01A,4.015,85.873,36.666,5.269,6.363,112.578,554.42,9.623,1.852,989.948,20.349,2.299,187.108,7499,KIRP,simu_bulk_2ds_ref,0.014,0.0,0.001,0.0,0.002,0.0,0.422,0.0,0.048,0.231,0.101,0.179,0.001,0.0,0.001,0.0,0.014,0.002,0.332
TCGA-P4-A5EA-01A,130.842,120.562,90.088,38.729,24.465,91.386,407.977,193.024,3.655,113.771,184.656,1.463,1901.567,7500,KIRP,simu_bulk_2ds_ref,0.041,0.074,0.066,0.021,0.033,0.002,0.474,0.018,0.052,0.083,0.019,0.111,0.001,0.001,0.003,0.0,0.11499999999999999,0.054000000000000006,0.10200000000000001
TCGA-UZ-A9PL-01A,4.538,11.879,5.904,1.512,1.227,15.458,41.791,24.269,1.0,190.884,14.271,1.396,1857.143,7501,KIRP,simu_bulk_2ds_ref,0.0,0.0,0.0,0.002,0.0,0.0,0.949,0.0,0.019,0.0,0.005,0.021,0.001,0.003,0.001,0.0,0.0,0.002,0.005
TCGA-HE-A5NL-01A,2.811,12.524,37.535,4.798,14.482,35.087,289.19,43.332,4.174,21.555,30.836,9.502,748.559,7502,KIRP,simu_bulk_2ds_ref,0.0,0.0,0.0,0.0,0.003,0.0,0.776,0.0,0.021,0.0,0.004,0.194,0.002,0.0,0.0,0.0,0.0,0.003,0.004
TCGA-J7-A8I2-01A,2.368,30.093,6.962,1.0,1.208,82.099,6.558,1.939,1.0,64.057,8.12,1.0,1834.805,7503,KIRP,simu_bulk_2ds_ref,0.003,0.0,0.0,0.001,0.0,0.0,0.95,0.0,0.036,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.003,0.001,0.01
TCGA-G7-6793-01A,5.086,67.11,29.006,1.972,3.444,301.953,479.184,72.141,2.839,305.985,13.6,3.053,880.88,7504,KIRP,simu_bulk_2ds_ref,0.002,0.0,0.002,0.001,0.001,0.0,0.707,0.0,0.072,0.052,0.081,0.076,0.001,0.0,0.006,0.0,0.002,0.002,0.133
TCGA-UZ-A9PK-01A,3.42,13.777,27.411,1.987,14.389,15.161,242.094,30.4,4.55,72.754,9.36,9.263,1029.492,7505,KIRP,simu_bulk_2ds_ref,0.0,0.0,0.0,0.0,0.0,0.0,0.861,0.002,0.021,0.0,0.009,0.103,0.002,0.0,0.001,0.0,0.0,0.0,0.009
TCGA-GL-6846-01A,2.201,14.065,12.314,1.747,3.739,40.307,110.997,8.702,1.0,34.729,5.222,1.417,1265.87,7506,KIRP,simu_bulk_2ds_ref,0.0,0.0,0.0,0.0,0.0,0.0,0.845,0.0,0.037,0.019,0.044,0.054,0.0,0.0,0.0,0.0,0.0,0.0,0.063
TCGA-5P-A9JW-01A,1.948,5.835,14.793,3.056,6.06,12.476,202.958,1.635,1.0,41.142,13.534,3.593,178.682,7507,KIRP,simu_bulk_2ds_ref,0.003,0.0,0.0,0.0,0.0,0.0,0.846,0.0,0.001,0.0,0.003,0.146,0.0,0.0,0.0,0.0,0.003,0.0,0.003
TCGA-DW-7842-01A,1.867,28.475,16.016,1.0,4.225,20.701,121.842,33.983,1.0,73.716,2.438,2.024,1227.106,7508,KIRP,simu_bulk_2ds_ref,0.0,0.0,0.001,0.0,0.0,0.0,0.712,0.0,0.037,0.007,0.198,0.039,0.004,0.0,0.001,0.0,0.0,0.0,0.20500000000000002
TCGA-UZ-A9Q0-01A,1.92,2.655,7.165,1.0,5.179,12.64,44.25,21.356,1.316,44.975,6.196,1.896,443.501,7509,KIRP,simu_bulk_2ds_ref,0.0,0.0,0.0,0.0,0.0,0.0,0.914,0.001,0.0,0.0,0.0,0.083,0.001,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-UZ-A9PN-01A,10.083,120.943,49.157,19.588,20.797,61.823,238.161,24.209,4.825,400.33,26.341,2.283,289.308,7510,KIRP,simu_bulk_2ds_ref,0.001,0.0,0.01,0.015,0.008,0.0,0.565,0.012,0.058,0.189,0.07,0.067,0.001,0.001,0.003,0.0,0.001,0.023,0.259
