,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-DO-A2HM-01B,0.032,0.093,0.062,0.005,0.043,0.016,0.065,0.105,0.056,0.024,0.169,0.004,0.002,0.011,0.003,0.31,0.31,THCA,0.5281,,0.3728,0.6,0.3697,
TCGA-DJ-A3V5-01A,0.001,0.0,0.014,0.001,0.0,0.0,0.024,0.066,0.127,0.054,0.031,0.001,0.0,0.002,0.0,0.68,0.68,THCA,0.8546,,0.9457,0.75,0.813,
TCGA-ET-A40P-01A,0.017,0.0,0.002,0.005,0.004,0.0,0.001,0.216,0.011,0.101,0.063,0.004,0.0,0.001,0.0,0.576,0.576,THCA,0.8553,,0.8988,0.95,0.8806,
TCGA-EL-A3GS-01A,0.002,0.0,0.005,0.002,0.0,0.0,0.0,0.064,0.001,0.028,0.031,0.0,0.0,0.002,0.0,0.863,0.863,THCA,0.9309,,0.9624,1.0,0.9167,
TCGA-EL-A3H7-01A,0.029,0.0,0.024,0.007,0.005,0.0,0.025,0.069,0.123,0.056,0.04,0.001,0.0,0.002,0.0,0.618,0.618,THCA,0.7456,,0.8283,0.75,0.833,
TCGA-DJ-A3UT-01A,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.157,0.014,0.063,0.013,0.0,0.0,0.0,0.0,0.728,0.728,THCA,0.9463,,0.9423,0.9,0.9669,
TCGA-FE-A3PD-01A,0.018,0.0,0.011,0.008,0.006,0.0,0.005,0.096,0.009,0.063,0.053,0.001,0.0,0.002,0.0,0.728,0.728,THCA,0.8537,,0.9111,1.0,0.9303,
TCGA-E8-A436-01A,0.01,0.0,0.016,0.008,0.001,0.0,0.026,0.059,0.068,0.079,0.108,0.001,0.0,0.002,0.0,0.62,0.62,THCA,0.7998,,0.884,0.9,0.8984,
TCGA-DE-A3KN-01A,0.008,0.0,0.003,0.008,0.003,0.0,0.004,0.212,0.035,0.077,0.015,0.001,0.001,0.005,0.0,0.628,0.628,THCA,0.8839,,0.8951,1.0,0.8528,
TCGA-MK-A4N7-01A,0.001,0.0,0.005,0.0,0.0,0.0,0.004,0.079,0.03,0.125,0.023,0.0,0.0,0.002,0.0,0.73,0.73,THCA,0.9162,,0.9494,0.8,0.97,
TCGA-EL-A3H4-01A,0.0,0.0,0.002,0.001,0.0,0.0,0.001,0.074,0.008,0.123,0.019,0.002,0.0,0.003,0.0,0.768,0.768,THCA,0.9085,,0.9866,0.85,0.9432,
TCGA-DJ-A3VL-01A,0.094,0.001,0.012,0.014,0.026,0.0,0.0,0.138,0.012,0.057,0.118,0.0,0.0,0.002,0.0,0.526,0.526,THCA,0.7406,,0.809,1.0,0.8103,
TCGA-DJ-A2Q9-01A,0.023,0.069,0.057,0.006,0.011,0.001,0.125,0.085,0.205,0.033,0.071,0.008,0.001,0.011,0.001,0.295,0.295,THCA,0.5371,,0.5098,0.7,0.382,
TCGA-J8-A3YF-01A,0.055,0.0,0.016,0.019,0.004,0.0,0.001,0.084,0.044,0.054,0.088,0.0,0.0,0.001,0.0,0.633,0.633,THCA,0.7961,,0.7919,1.0,0.7466,
TCGA-BJ-A45D-01A,0.031,0.0,0.006,0.002,0.001,0.0,0.005,0.157,0.0,0.059,0.091,0.0,0.001,0.002,0.0,0.644,0.644,THCA,0.8532,,0.8009,1.0,0.8008,
TCGA-EM-A4FF-01A,0.028,0.0,0.008,0.009,0.0,0.0,0.003,0.094,0.024,0.066,0.094,0.001,0.0,0.001,0.0,0.671,0.671,THCA,0.8251,,0.8803,0.75,0.8941,
TCGA-EL-A4JX-01A,0.12,0.001,0.077,0.018,0.031,0.0,0.001,0.035,0.026,0.024,0.151,0.001,0.0,0.003,0.0,0.512,0.512,THCA,0.6442,,0.5563,0.8,0.5273,
TCGA-DJ-A3UZ-01A,0.042,0.016,0.014,0.015,0.01,0.001,0.015,0.152,0.049,0.065,0.047,0.0,0.001,0.005,0.0,0.567,0.567,THCA,0.8373,,0.8551,0.75,0.8628,
TCGA-EL-A4KD-01A,0.022,0.0,0.007,0.001,0.003,0.0,0.007,0.227,0.006,0.117,0.055,0.0,0.001,0.004,0.0,0.549,0.549,THCA,0.8423,,0.8584,1.0,0.7963,
TCGA-DE-A2OL-01A,0.017,0.0,0.002,0.001,0.002,0.0,0.0,0.162,0.006,0.052,0.013,0.0,0.0,0.004,0.0,0.741,0.741,THCA,0.9752,,1.0,0.85,0.9768,
TCGA-EL-A3CX-01A,0.004,0.0,0.004,0.0,0.007,0.0,0.006,0.02,0.055,0.094,0.104,0.001,0.0,0.001,0.0,0.705,0.705,THCA,0.9107,,0.9483,0.85,0.8892,
TCGA-EL-A4K1-01A,0.002,0.0,0.0,0.002,0.0,0.0,0.003,0.101,0.011,0.054,0.029,0.0,0.0,0.0,0.0,0.798,0.798,THCA,0.834,,0.9384,0.75,0.8806,
TCGA-DJ-A4UR-01A,0.037,0.0,0.001,0.003,0.0,0.0,0.001,0.188,0.013,0.077,0.032,0.0,0.0,0.001,0.0,0.647,0.647,THCA,0.8614,,0.8985,1.0,0.9155,
TCGA-DJ-A2QB-01A,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.159,0.0,0.041,0.056,0.0,0.0,0.002,0.0,0.732,0.732,THCA,0.9297,,0.8686,1.0,0.8803,
TCGA-EL-A4JV-01A,0.025,0.0,0.0,0.003,0.002,0.0,0.0,0.174,0.001,0.075,0.02,0.0,0.0,0.003,0.0,0.697,0.697,THCA,0.9343,,0.9748,0.8,0.9213,
TCGA-ET-A3DV-01A,0.012,0.0,0.0,0.0,0.001,0.0,0.0,0.08,0.0,0.021,0.013,0.0,0.0,0.0,0.0,0.873,0.873,THCA,0.9789,,1.0,0.9,0.9818,
TCGA-E8-A434-01A,0.011,0.0,0.01,0.005,0.001,0.001,0.019,0.094,0.081,0.042,0.043,0.001,0.0,0.003,0.0,0.688,0.688,THCA,0.9028,,0.9487,0.7,0.8785,
TCGA-EM-A2P2-01A,0.012,0.0,0.001,0.004,0.0,0.0,0.0,0.138,0.029,0.055,0.017,0.0,0.0,0.003,0.0,0.742,0.742,THCA,0.9403,,0.9955,0.75,0.9294,
TCGA-EM-A1CV-01A,0.006,0.0,0.001,0.005,0.0,0.0,0.0,0.137,0.0,0.037,0.072,0.0,0.0,0.004,0.0,0.736,0.736,THCA,0.9239,,0.9511,0.93,0.9074,
TCGA-ET-A2N5-01A,0.024,0.0,0.0,0.002,0.001,0.0,0.0,0.142,0.0,0.056,0.041,0.0,0.0,0.001,0.0,0.731,0.731,THCA,0.9339,,0.9213,0.95,0.9207,
TCGA-ET-A25M-01A,0.0,0.0,0.005,0.004,0.0,0.0,0.01,0.087,0.107,0.044,0.035,0.0,0.0,0.002,0.0,0.704,0.704,THCA,0.8706,,0.9661,0.7,0.8348,
