,B Cells_marker_mean,CAFs_marker_mean,CD4 T_marker_mean,CD8 T_marker_mean,DC_marker_mean,Endothelial Cells_marker_mean,Macrophages_marker_mean,Mast Cells_marker_mean,Monocytes_marker_mean,Myofibroblasts_marker_mean,NK_marker_mean,Neutrophils_marker_mean,Cancer Cells_marker_mean,Unnamed: 0,cancer_type,reference_dataset,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,B Cells,CD8 T,Fibroblasts
TCGA-MI-A75H-01A,9.308,6.638,13.081,4.868,8.361,140.137,210.332,1.0,6.017,36.001,47.723,1.0,258.795,2117,LIHC,simu_bulk_2ds_ref,0.02,0.0,0.001,0.0,0.0,0.0,0.516,0.058,0.075,0.0,0.104,0.219,0.0,0.005,0.001,0.001,0.02,0.0,0.104
TCGA-CC-A9FV-01A,4.465,342.539,190.722,11.094,23.744,103.696,2042.463,127.192,2.796,1948.399,82.425,8.357,29.89,2118,LIHC,simu_bulk_2ds_ref,0.001,0.0,0.003,0.008,0.011,0.0,0.0,0.006,0.065,0.017,0.413,0.444,0.023,0.008,0.001,0.0,0.001,0.019,0.43
TCGA-BC-A217-01A,11.821,5.329,21.825,3.596,10.615,20.373,226.924,2.599,1.008,16.892,35.064,1.0,226.601,2119,LIHC,simu_bulk_2ds_ref,0.01,0.0,0.011,0.001,0.0,0.0,0.768,0.001,0.018,0.004,0.023,0.164,0.0,0.0,0.0,0.0,0.01,0.001,0.027
TCGA-DD-AAD5-01A,29.556,6.547,25.726,1.085,3.018,25.82,795.906,1.0,1.0,19.579,13.587,1.728,855.458,2120,LIHC,simu_bulk_2ds_ref,0.0,0.0,0.0,0.0,0.0,0.0,0.784,0.0,0.017,0.0,0.025,0.174,0.001,0.0,0.0,0.0,0.0,0.0,0.025
TCGA-2Y-A9H0-01A,10.239,2.15,20.138,17.261,2.414,19.262,229.262,1.743,1.271,12.183,74.437,2.64,122.448,2121,LIHC,simu_bulk_2ds_ref,0.023,0.0,0.001,0.023,0.0,0.0,0.582,0.0,0.02,0.0,0.045,0.304,0.0,0.0,0.0,0.0,0.023,0.023,0.045
TCGA-DD-AAD8-01A,8.451,7.705,25.664,1.804,6.374,25.743,51.548,1.0,1.0,40.032,17.993,1.0,257.097,2122,LIHC,simu_bulk_2ds_ref,0.0,0.0,0.0,0.0,0.0,0.0,0.874,0.0,0.035,0.0,0.074,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.074
TCGA-CC-A3MB-01A,13.474,14.779,11.049,2.403,7.712,53.044,107.369,1.0,1.0,14.498,12.45,1.0,471.034,2123,LIHC,simu_bulk_2ds_ref,0.003,0.0,0.005,0.0,0.0,0.0,0.616,0.0,0.113,0.014,0.073,0.175,0.0,0.0,0.0,0.0,0.003,0.0,0.087
TCGA-DD-A4NE-01A,8.204,25.298,13.125,1.0,4.144,52.865,53.507,1.0,1.0,47.318,4.026,1.0,146.042,2124,LIHC,simu_bulk_2ds_ref,0.001,0.0,0.0,0.001,0.0,0.0,0.57,0.0,0.134,0.002,0.112,0.179,0.0,0.0,0.0,0.0,0.001,0.001,0.114
TCGA-5R-AAAM-01A,5.991,50.851,45.172,3.596,8.789,93.035,491.285,1.0,3.341,74.251,23.143,2.042,245.015,2125,LIHC,simu_bulk_2ds_ref,0.024,0.0,0.008,0.0,0.001,0.0,0.053,0.0,0.172,0.053,0.021,0.667,0.0,0.001,0.0,0.0,0.024,0.001,0.074
TCGA-DD-AADY-01A,17.017,24.154,7.57,1.0,9.251,88.615,66.973,1.0,1.0,31.161,5.923,1.0,209.939,2126,LIHC,simu_bulk_2ds_ref,0.008,0.0,0.002,0.0,0.0,0.0,0.839,0.0,0.12,0.015,0.015,0.001,0.0,0.0,0.0,0.0,0.008,0.0,0.03
