,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-BH-A0H7-01A,0.001,0.0,0.008,0.0,0.017,0.0,0.006,0.023,0.273,0.011,0.035,0.002,0.0,0.0,0.0,0.624,0.624,BRCA,0.7939,0.63,0.9561,0.725,0.7534,
TCGA-A2-A1FX-01A,0.0,0.001,0.007,0.003,0.017,0.0,0.007,0.08,0.105,0.021,0.06,0.011,0.0,0.001,0.0,0.687,0.687,BRCA,0.7609,0.72,0.8233,0.9,0.8364,
TCGA-E2-A15J-01A,0.0,0.001,0.002,0.001,0.0,0.0,0.001,0.019,0.066,0.005,0.032,0.0,0.0,0.0,0.0,0.873,0.873,BRCA,0.8995,0.88,1.0,0.8,0.9356,
TCGA-A2-A0T3-01A,0.0,0.001,0.001,0.006,0.008,0.001,0.007,0.05,0.097,0.02,0.008,0.001,0.0,0.001,0.0,0.798,0.798,BRCA,0.9166,0.51,,0.5,0.7466,
TCGA-A8-A081-01A,0.012,0.001,0.012,0.019,0.042,0.0,0.015,0.042,0.039,0.013,0.063,0.003,0.0,0.003,0.0,0.734,0.734,BRCA,0.809,0.69,,0.775,0.7511,
TCGA-A8-A096-01A,0.005,0.002,0.039,0.006,0.028,0.0,0.03,0.055,0.233,0.01,0.164,0.002,0.0,0.0,0.0,0.427,0.427,BRCA,0.5497,0.62,,0.825,0.6573,
TCGA-BH-A209-01A,0.017,0.059,0.049,0.027,0.049,0.002,0.06,0.049,0.066,0.013,0.084,0.002,0.0,0.0,0.0,0.523,0.523,BRCA,0.5979,0.24,0.6243,0.6,0.4645,
TCGA-GM-A2D9-01A,0.004,0.001,0.007,0.0,0.01,0.0,0.027,0.046,0.178,0.029,0.053,0.0,0.0,0.0,0.0,0.645,0.645,BRCA,0.7818,0.73,0.8809,0.85,0.8679,
TCGA-A2-A0T7-01A,0.003,0.003,0.006,0.0,0.017,0.001,0.013,0.053,0.231,0.019,0.074,0.004,0.0,0.004,0.0,0.57,0.57,BRCA,0.7746,0.49,0.8685,0.8,0.7923,
TCGA-D8-A1XS-01A,0.001,0.004,0.007,0.001,0.013,0.0,0.009,0.037,0.153,0.01,0.067,0.007,0.0,0.0,0.0,0.69,0.69,BRCA,0.7709,0.74,0.8247,0.7,0.764,
TCGA-AR-A2LL-01A,0.008,0.001,0.002,0.0,0.013,0.001,0.023,0.023,0.078,0.013,0.124,0.004,0.0,0.0,0.0,0.709,0.709,BRCA,0.7918,0.71,0.8268,0.75,0.8337,
TCGA-B6-A0IP-01A,0.005,0.033,0.017,0.0,0.01,0.001,0.032,0.048,0.119,0.011,0.034,0.003,0.0,0.0,0.0,0.686,0.686,BRCA,0.8487,0.6,,0.8,0.805,
TCGA-A1-A0SD-01A,0.004,0.001,0.016,0.0,0.008,0.002,0.022,0.113,0.197,0.041,0.043,0.005,0.0,0.001,0.0,0.547,0.547,BRCA,0.7644,0.51,,0.425,0.6906,
TCGA-EW-A424-01A,0.008,0.0,0.0,0.0,0.005,0.001,0.018,0.038,0.236,0.007,0.011,0.005,0.0,0.0,0.0,0.668,0.668,BRCA,0.8593,,0.9472,0.7,0.8806,
TCGA-3C-AALI-01A,0.008,0.001,0.019,0.011,0.037,0.0,0.024,0.039,0.099,0.006,0.074,0.002,0.0,0.0,0.0,0.681,0.681,BRCA,0.7661,,,0.6,0.6974,
TCGA-B6-A0I1-01A,0.003,0.0,0.003,0.0,0.007,0.0,0.003,0.007,0.016,0.006,0.024,0.001,0.0,0.0,0.0,0.931,0.931,BRCA,0.9614,0.77,0.7317,0.65,0.8198,
TCGA-AC-A2QJ-01A,0.0,0.001,0.011,0.003,0.003,0.0,0.004,0.022,0.38,0.01,0.184,0.0,0.0,0.0,0.0,0.382,0.382,BRCA,0.5263,0.44,0.457,0.9,0.4884,
TCGA-AR-A5QQ-01A,0.016,0.012,0.039,0.006,0.019,0.0,0.028,0.074,0.109,0.002,0.09,0.002,0.0,0.011,0.001,0.591,0.591,BRCA,0.6173,,0.436,0.9,0.4909,
TCGA-BH-A8G0-01A,0.01,0.037,0.013,0.0,0.013,0.016,0.034,0.099,0.269,0.03,0.133,0.01,0.0,0.001,0.0,0.333,0.333,BRCA,0.5613,,0.6822,0.6,0.6126,
TCGA-D8-A1XQ-01A,0.039,0.001,0.032,0.0,0.035,0.0,0.006,0.031,0.131,0.001,0.128,0.0,0.0,0.0,0.0,0.595,0.595,BRCA,0.69,0.48,0.7135,0.9,0.6581,
TCGA-D8-A73U-01A,0.043,0.013,0.031,0.01,0.084,0.001,0.045,0.067,0.223,0.007,0.233,0.007,0.001,0.005,0.0,0.23,0.23,BRCA,0.3586,,0.4716,0.65,0.4138,
TCGA-C8-A26Y-01A,0.0,0.009,0.01,0.006,0.007,0.0,0.0,0.027,0.029,0.014,0.068,0.002,0.0,0.033,0.004,0.792,0.792,BRCA,0.886,0.47,0.6938,0.8,0.7554,
TCGA-AC-A8OR-01A,0.004,0.0,0.001,0.0,0.001,0.003,0.0,0.022,0.016,0.032,0.06,0.001,0.0,0.0,0.0,0.859,0.859,BRCA,0.9181,,,0.96,0.8006,
TCGA-D8-A27K-01A,0.007,0.011,0.019,0.0,0.018,0.006,0.045,0.063,0.189,0.007,0.048,0.005,0.0,0.003,0.0,0.578,0.578,BRCA,0.7494,0.58,0.7498,0.85,0.7268,
TCGA-EW-A1IY-01A,0.006,0.008,0.038,0.004,0.053,0.002,0.062,0.063,0.213,0.015,0.06,0.006,0.0,0.0,0.0,0.471,0.471,BRCA,0.6124,,0.651,0.7,0.6246,
TCGA-BH-A0B9-01A,0.001,0.01,0.029,0.012,0.038,0.0,0.064,0.012,0.047,0.001,0.032,0.0,0.0,0.0,0.0,0.754,0.754,BRCA,0.8057,0.62,0.5892,0.85,0.7243,
TCGA-A2-A0T2-01A,0.001,0.001,0.008,0.005,0.011,0.0,0.002,0.024,0.071,0.011,0.048,0.0,0.0,0.001,0.0,0.817,0.817,BRCA,0.8286,0.82,0.858,0.825,0.8631,
TCGA-AR-A1AS-01A,0.0,0.001,0.002,0.0,0.0,0.0,0.0,0.028,0.088,0.0,0.09,0.004,0.0,0.002,0.0,0.784,0.784,BRCA,0.8584,0.76,0.9527,0.9,0.8509,
TCGA-E9-A1R4-01A,0.004,0.001,0.021,0.007,0.051,0.001,0.059,0.034,0.092,0.017,0.148,0.002,0.0,0.001,0.0,0.562,0.562,BRCA,0.6623,0.38,0.5896,0.9,0.5522,
TCGA-E2-A107-01A,0.0,0.0,0.004,0.0,0.01,0.0,0.015,0.042,0.042,0.03,0.044,0.005,0.0,0.0,0.0,0.807,0.807,BRCA,0.9134,0.45,0.8766,0.85,0.7959,
TCGA-A2-A0T0-01A,0.0,0.0,0.011,0.004,0.013,0.0,0.001,0.027,0.115,0.005,0.069,0.0,0.0,0.006,0.0,0.747,0.747,BRCA,0.807,0.57,0.7,0.75,0.7259,
TCGA-BH-A0W4-01A,0.002,0.001,0.003,0.0,0.002,0.004,0.018,0.054,0.213,0.028,0.019,0.007,0.0,0.001,0.0,0.649,0.649,BRCA,0.8451,0.55,0.9261,0.75,0.8002,
