,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-CH-5753-01A,0.0,0.002,0.009,0.002,0.005,0.0,0.891,0.008,0.022,0.024,0.016,0.018,0.001,0.0,0.0,0.0,PRAD,0.9442,,0.9833,0.55,0.9347,
TCGA-KC-A7F5-01A,0.0,0.0,0.003,0.001,0.0,0.0,0.968,0.005,0.006,0.006,0.01,0.0,0.0,0.0,0.0,0.0,PRAD,0.9911,,0.9954,0.75,0.9984,
TCGA-HC-A9TH-01A,0.0,0.0,0.012,0.002,0.002,0.0,0.818,0.016,0.026,0.067,0.028,0.027,0.001,0.0,0.0,0.0,PRAD,0.8803,,,0.8,0.4622,
TCGA-HC-A6AL-01A,0.01,0.0,0.006,0.0,0.0,0.0,0.83,0.011,0.025,0.044,0.046,0.026,0.001,0.0,0.0,0.0,PRAD,0.9007,,0.8756,0.85,0.8821,
TCGA-2A-AAYU-01A,0.0,0.0,0.006,0.0,0.001,0.0,0.871,0.006,0.021,0.031,0.058,0.005,0.001,0.0,0.0,0.0,PRAD,0.9661,,,0.8,0.8332,
TCGA-YL-A8S8-01A,0.009,0.0,0.003,0.002,0.002,0.0,0.82,0.005,0.046,0.056,0.044,0.01,0.001,0.0,0.0,0.0,PRAD,0.9212,,0.9595,0.8,0.9035,
TCGA-KK-A6E1-01A,0.0,0.0,0.003,0.003,0.0,0.0,0.926,0.006,0.013,0.011,0.026,0.012,0.0,0.0,0.0,0.0,PRAD,0.9655,,0.9129,0.7,0.9637,
TCGA-TK-A8OK-01A,0.004,0.0,0.001,0.0,0.0,0.0,0.411,0.014,0.118,0.21,0.206,0.029,0.007,0.0,0.0,0.0,PRAD,0.8023,,0.8884,0.6,0.742,
TCGA-EJ-8472-01A,0.0,0.0,0.004,0.001,0.0,0.0,0.862,0.007,0.018,0.052,0.04,0.014,0.001,0.0,0.0,0.0,PRAD,0.9547,,1.0,0.9,0.949,
TCGA-HC-7742-01A,0.002,0.0,0.004,0.0,0.0,0.0,0.803,0.007,0.034,0.048,0.086,0.014,0.001,0.0,0.0,0.0,PRAD,0.9373,,0.936,0.6,0.9425,
TCGA-FC-A8O0-01A,0.0,0.0,0.004,0.0,0.0,0.0,0.876,0.006,0.018,0.034,0.056,0.002,0.004,0.0,0.0,0.0,PRAD,0.9686,,1.0,0.9,0.9678,
TCGA-EJ-5508-01A,0.008,0.001,0.009,0.0,0.007,0.0,0.765,0.015,0.074,0.062,0.037,0.019,0.002,0.0,0.0,0.0,PRAD,0.8825,,0.9029,0.65,0.8509,
TCGA-HC-7749-01A,0.007,0.0,0.006,0.0,0.002,0.0,0.845,0.006,0.026,0.047,0.031,0.025,0.003,0.0,0.0,0.0,PRAD,0.9089,,0.9622,0.7,0.8869,
TCGA-V1-A9OT-01A,0.009,0.0,0.003,0.0,0.003,0.0,0.865,0.007,0.009,0.059,0.043,0.001,0.0,0.0,0.0,0.0,PRAD,0.9301,,,0.6,0.4961,
TCGA-CH-5741-01A,0.001,0.0,0.002,0.0,0.001,0.0,0.904,0.004,0.021,0.029,0.028,0.008,0.001,0.0,0.0,0.0,PRAD,0.9783,,0.9999,0.875,0.981,
