,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-CJ-4894-01A,0.02,0.001,0.005,0.03,0.044,0.0,0.032,0.237,0.001,0.158,0.125,0.0,0.002,0.005,0.0,0.339,0.339,KIRC,0.5752,0.56,,0.85,0.6939,
TCGA-BP-5187-01A,0.0,0.0,0.009,0.003,0.017,0.0,0.001,0.241,0.022,0.26,0.072,0.0,0.001,0.004,0.0,0.368,0.368,KIRC,0.6745,0.42,0.6696,0.85,0.5686,
TCGA-B0-5110-01A,0.006,0.0,0.003,0.002,0.01,0.0,0.009,0.374,0.007,0.191,0.101,0.001,0.007,0.012,0.0,0.276,0.276,KIRC,0.6556,0.53,0.7564,0.8,0.6655,
TCGA-BP-4972-01A,0.001,0.0,0.01,0.003,0.005,0.0,0.006,0.217,0.072,0.151,0.243,0.0,0.004,0.008,0.0,0.279,0.279,KIRC,0.5112,0.69,,0.8,0.582,
TCGA-MW-A4EC-01A,0.007,0.0,0.002,0.008,0.0,0.001,0.012,0.295,0.0,0.105,0.1,0.0,0.005,0.006,0.0,0.457,0.457,KIRC,0.7541,,0.7646,0.8,0.7173,
TCGA-B8-4622-01A,0.007,0.0,0.011,0.001,0.001,0.001,0.015,0.232,0.004,0.125,0.172,0.0,0.018,0.012,0.0,0.401,0.401,KIRC,0.6043,0.6,0.7083,0.85,0.7119,
TCGA-B0-5108-01A,0.011,0.0,0.029,0.0,0.014,0.001,0.001,0.202,0.197,0.163,0.242,0.0,0.01,0.008,0.002,0.12,0.12,KIRC,0.4174,0.41,0.5717,0.75,0.5314,
TCGA-AK-3445-01A,0.013,0.0,0.012,0.01,0.018,0.0,0.003,0.142,0.045,0.124,0.167,0.0,0.009,0.004,0.0,0.451,0.451,KIRC,0.5899,0.56,0.7292,0.775,0.7052,
TCGA-B0-5701-01A,0.008,0.0,0.024,0.0,0.017,0.0,0.001,0.119,0.001,0.033,0.158,0.0,0.0,0.001,0.0,0.637,0.637,KIRC,0.7153,,0.613,0.85,0.6238,
TCGA-CJ-4636-01A,0.001,0.0,0.003,0.006,0.03,0.0,0.001,0.172,0.022,0.147,0.264,0.0,0.001,0.003,0.0,0.35,0.35,KIRC,0.4797,0.58,,0.8,0.7129,
